name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Flutter Mane,2022-11,Shadow Ball,98.272,Moonblast,97.642,Calm Mind,54.855,Mystical Fire,39.473,Substitute,32.508,Psyshock,24.564,Thunderbolt,19.435,Energy Ball,6.117,Tera Blast,5.592,Memento,3.139,Other,18.403,,,,,,,,,,,,,,
Palafin,2022-11,Jet Punch,91.318,Drain Punch,50.915,Flip Turn,50.386,Bulk Up,48.761,Taunt,40.004,Close Combat,36.667,Wave Crash,36.378,Ice Punch,16.648,Zen Headbutt,12.835,Other,16.088,,,,,,,,,,,,,,,,
Great Tusk,2022-11,Rapid Spin,88.136,Close Combat,70.970,Headlong Rush,70.063,Stealth Rock,41.954,Knock Off,31.673,Earthquake,29.040,Ice Spinner,17.944,Stone Edge,14.320,Taunt,10.589,Body Press,10.180,Other,15.131,,,,,,,,,,,,,,
Chien-Pao,2022-11,Sucker Punch,66.662,Sacred Sword,65.186,Swords Dance,58.108,Ice Spinner,51.386,Crunch,47.808,Icicle Crash,42.695,Ice Shard,32.423,Psychic Fangs,11.749,Throat Chop,10.924,Other,13.059,,,,,,,,,,,,,,,,
Gholdengo,2022-11,Shadow Ball,97.600,Make It Rain,92.848,Nasty Plot,41.969,Focus Blast,38.545,Trick,33.219,Thunderbolt,29.870,Recover,18.858,Substitute,16.751,Flash Cannon,4.460,Tera Blast,4.458,Psyshock,3.770,Other,17.654,,,,,,,,,,,,
Corviknight,2022-11,Roost,99.273,Defog,82.003,U-turn,77.302,Body Press,63.766,Brave Bird,39.384,Iron Defense,17.380,Iron Head,6.942,Other,13.950,,,,,,,,,,,,,,,,,,,,
Glimmora,2022-11,Stealth Rock,78.743,Mortal Spin,74.532,Spikes,69.067,Earth Power,43.374,Memento,29.400,Power Gem,29.321,Toxic Spikes,16.093,Sludge Wave,13.919,Sludge Bomb,13.590,Energy Ball,7.718,Spiky Shield,6.682,Other,17.560,,,,,,,,,,,,
Roaring Moon,2022-11,Dragon Dance,89.917,Earthquake,72.869,Crunch,64.839,Acrobatics,47.087,Dragon Claw,23.158,Iron Head,20.117,Outrage,18.334,Jaw Lock,16.194,Tera Blast,9.274,Throat Chop,9.101,U-turn,7.874,Roost,6.387,Other,14.850,,,,,,,,,,
Clodsire,2022-11,Recover,95.318,Earthquake,92.651,Toxic,61.693,Stealth Rock,48.704,Spikes,41.726,Toxic Spikes,12.766,Yawn,9.517,Poison Jab,7.502,Haze,5.969,Gunk Shot,4.834,Other,19.321,,,,,,,,,,,,,,
Kingambit,2022-11,Sucker Punch,99.106,Iron Head,94.215,Kowtow Cleave,88.732,Swords Dance,69.752,Tera Blast,10.806,Low Kick,9.831,Stealth Rock,6.916,Brick Break,6.578,Other,14.063,,,,,,,,,,,,,,,,,,
