Name,Gen,HP,Attack,Defense,Sp_attack,Sp_defense,Speed
Bulbasaur,5,45,49,49,65,65,45
Ivysaur,5,60,62,63,80,80,60
Venusaur,5,80,82,83,100,100,80
Charmander,5,39,52,43,60,50,65
Charmeleon,5,58,64,58,80,65,80
Charizard,5,78,84,78,109,85,100
Squirtle,5,44,48,65,50,64,43
Wartortle,5,59,63,80,65,80,58
Blastoise,5,79,83,100,85,105,78
Caterpie,5,45,30,35,20,20,45
Metapod,5,50,20,55,25,25,30
Butterfree,5,60,45,50,80,80,70
Weedle,5,40,35,30,20,20,50
Kakuna,5,45,25,50,25,25,35
Beedrill,5,65,80,40,45,80,75
Pidgey,5,40,45,40,35,35,56
Pidgeotto,5,63,60,55,50,50,71
Pidgeot,5,83,80,75,70,70,91
Rattata,5,30,56,35,25,35,72
Raticate,5,55,81,60,50,70,97
Spearow,5,40,60,30,31,31,70
Fearow,5,65,90,65,61,61,100
Ekans,5,35,60,44,40,54,55
Arbok,5,60,85,69,65,79,80
Pikachu,5,35,55,30,50,40,90
Raichu,5,60,90,55,90,80,100
Sandshrew,5,50,75,85,20,30,40
Sandslash,5,75,100,110,45,55,65
Nidoran-F,5,55,47,52,40,40,41
Nidorina,5,70,62,67,55,55,56
Nidoqueen,5,90,82,87,75,85,76
Nidoran-M,5,46,57,40,40,40,50
Nidorino,5,61,72,57,55,55,65
Nidoking,5,81,92,77,85,75,85
Clefairy,5,70,45,48,60,65,35
Clefable,5,95,70,73,85,90,60
Vulpix,5,38,41,40,50,65,65
Ninetales,5,73,76,75,81,100,100
Jigglypuff,5,115,45,20,45,25,20
Wigglytuff,5,140,70,45,75,50,45
Zubat,5,40,45,35,30,40,55
Golbat,5,75,80,70,65,75,90
Oddish,5,45,50,55,75,65,30
Gloom,5,60,65,70,85,75,40
Vileplume,5,75,80,85,100,90,50
Paras,5,35,70,55,45,55,25
Parasect,5,60,95,80,60,80,30
Venonat,5,60,55,50,40,55,45
Venomoth,5,70,65,60,90,75,90
Diglett,5,10,55,25,35,45,95
Dugtrio,5,35,80,50,50,70,120
Meowth,5,40,45,35,40,40,90
Persian,5,65,70,60,65,65,115
Psyduck,5,50,52,48,65,50,55
Golduck,5,80,82,78,95,80,85
Mankey,5,40,80,35,35,45,70
Primeape,5,65,105,60,60,70,95
Growlithe,5,55,70,45,70,50,60
Arcanine,5,90,110,80,100,80,95
Poliwag,5,40,50,40,40,40,90
Poliwhirl,5,65,65,65,50,50,90
Poliwrath,5,90,85,95,70,90,70
Abra,5,25,20,15,105,55,90
Kadabra,5,40,35,30,120,70,105
Alakazam,5,55,50,45,135,85,120
Machop,5,70,80,50,35,35,35
Machoke,5,80,100,70,50,60,45
Machamp,5,90,130,80,65,85,55
Bellsprout,5,50,75,35,70,30,40
