Name,Gen,TypeOne,TypeTwo
Bulbasaur,1,Grass,Poison
Ivysaur,1,Grass,Poison
Venusaur,1,Grass,Poison
Charmander,1,Fire,
Charmeleon,1,Fire,
Charizard,1,Fire,Flying
Squirtle,1,Water,
Wartortle,1,Water,
Blastoise,1,Water,
Caterpie,1,Bug,
Metapod,1,Bug,
Butterfree,1,Bug,Flying
Weedle,1,Bug,Poison
Kakuna,1,Bug,Poison
Beedrill,1,Bug,Poison
Pidgey,1,Normal,Flying
Pidgeotto,1,Normal,Flying
Pidgeot,1,Normal,Flying
Rattata,1,Normal,
Raticate,1,Normal,
Spearow,1,Normal,Flying
Fearow,1,Normal,Flying
Ekans,1,Poison,
Arbok,1,Poison,
Pikachu,1,Electric,
Raichu,1,Electric,
Sandshrew,1,Ground,
Sandslash,1,Ground,
Nidoran-F,1,Poison,
Nidorina,1,Poison,
Nidoqueen,1,Poison,Ground
Nidoran-M,1,Poison,
Nidorino,1,Poison,
Nidoking,1,Poison,Ground
Clefairy,1,Normal,
Clefable,1,Normal,
Vulpix,1,Fire,
Ninetales,1,Fire,
Jigglypuff,1,Normal,
Wigglytuff,1,Normal,
Zubat,1,Poison,Flying
Golbat,1,Poison,Flying
Oddish,1,Grass,Poison
Gloom,1,Grass,Poison
Vileplume,1,Grass,Poison
Paras,1,Bug,Grass
Parasect,1,Bug,Grass
Venonat,1,Bug,Poison
Venomoth,1,Bug,Poison
Diglett,1,Ground,
Dugtrio,1,Ground,
Meowth,1,Normal,
Persian,1,Normal,
Psyduck,1,Water,
Golduck,1,Water,
Mankey,1,Fighting,
Primeape,1,Fighting,
Growlithe,1,Fire,
Arcanine,1,Fire,
Poliwag,1,Water,
Poliwhirl,1,Water,
Poliwrath,1,Water,Fighting
Abra,1,Psychic,
Kadabra,1,Psychic,
Alakazam,1,Psychic,
Machop,1,Fighting,
Machoke,1,Fighting,
Machamp,1,Fighting,
Bellsprout,1,Grass,Poison
Weepinbell,1,Grass,Poison
Victreebel,1,Grass,Poison
Tentacool,1,Water,Poison
Tentacruel,1,Water,Poison
Geodude,1,Rock,Ground
Graveler,1,Rock,Ground
Golem,1,Rock,Ground
Ponyta,1,Fire,
Rapidash,1,Fire,
Slowpoke,1,Water,Psychic
Slowbro,1,Water,Psychic
Magnemite,1,Electric,
Magneton,1,Electric,
Farfetch’d,1,Normal,Flying
Doduo,1,Normal,Flying
Dodrio,1,Normal,Flying
Seel,1,Water,
Dewgong,1,Water,Ice
Grimer,1,Poison,
Muk,1,Poison,
Shellder,1,Water,
Cloyster,1,Water,Ice
Gastly,1,Ghost,Poison
Haunter,1,Ghost,Poison
Gengar,1,Ghost,Poison
Onix,1,Rock,Ground
Drowzee,1,Psychic,
Hypno,1,Psychic,
Krabby,1,Water,
Kingler,1,Water,
Voltorb,1,Electric,
Electrode,1,Electric,
Exeggcute,1,Grass,Psychic
Exeggutor,1,Grass,Psychic
Cubone,1,Ground,
Marowak,1,Ground,
Hitmonlee,1,Fighting,
Hitmonchan,1,Fighting,
Lickitung,1,Normal,
Koffing,1,Poison,
Weezing,1,Poison,
Rhyhorn,1,Ground,Rock
Rhydon,1,Ground,Rock
Chansey,1,Normal,
Tangela,1,Grass,
Kangaskhan,1,Normal,
Horsea,1,Water,
Seadra,1,Water,
Goldeen,1,Water,
Seaking,1,Water,
Staryu,1,Water,
Starmie,1,Water,Psychic
Mr. Mime,1,Psychic,
Scyther,1,Bug,Flying
Jynx,1,Ice,Psychic
Electabuzz,1,Electric,
Magmar,1,Fire,
Pinsir,1,Bug,
Tauros,1,Normal,
Magikarp,1,Water,
Gyarados,1,Water,Flying
Lapras,1,Water,Ice
Ditto,1,Normal,
Eevee,1,Normal,
Vaporeon,1,Water,
Jolteon,1,Electric,
Flareon,1,Fire,
Porygon,1,Normal,
Omanyte,1,Rock,Water
Omastar,1,Rock,Water
Kabuto,1,Rock,Water
Kabutops,1,Rock,Water
Aerodactyl,1,Rock,Flying
Snorlax,1,Normal,
Articuno,1,Ice,Flying
Zapdos,1,Electric,Flying
Moltres,1,Fire,Flying
Dratini,1,Dragon,
Dragonair,1,Dragon,
Dragonite,1,Dragon,Flying
Mewtwo,1,Psychic,
Mew,1,Psychic,
