name,snapshot,counterName1,usageErrors1,errors1,koUsage1,switchUsage1,counterName2,usageErrors2,errors2,koUsage2,switchUsage2,counterName3,usageErrors3,errors3,koUsage3,switchUsage3,counterName4,usageErrors4,errors4,koUsage4,switchUsage4,counterName5,usageErrors5,errors5,koUsage5,switchUsage5,counterName6,usageErrors6,errors6,koUsage6,switchUsage6,counterName7,usageErrors7,errors7,koUsage7,switchUsage7,counterName8,usageErrors8,errors8,koUsage8,switchUsage8,counterName9,usageErrors9,errors9,koUsage9,switchUsage9,counterName10,usageErrors10,errors10,koUsage10,switchUsage10,counterName11,usageErrors11,errors11,koUsage11,switchUsage11,counterName12,usageErrors12,errors12,koUsage12,switchUsage12
Landorus-Therian,2022-11,Serperior,91.08,2.89,31.9,59.2,Hawlucha,85.28,4,43.2,42.1,Celesteela,86.95,4.53,21.2,65.7,Kyurem-Black,81.74,3.42,26.6,55.1,Greninja-Ash,78.83,3.11,26.7,52.2,Skarmory,84.55,4.92,9,75.5,Rotom-Wash,75.6,3.35,22.3,53.3,Medicham-Mega,69.89,3.2,24.1,45.7,Cresselia,83.49,6.79,11.2,72.3,Zapdos,73.55,4.32,23.2,50.4,Swampert-Mega,72.44,4.16,34.6,37.8,Tapu Lele,71.61,3.99,35.3,36.3
Magearna,2022-11,Marowak-Alola,90.86,5.3,43.5,47.4,Excadrill,76.88,4.22,13.4,63.5,Swampert-Mega,78.81,5.36,29.9,48.9,Heatran,77.67,5.55,14.4,63.3,Chansey,72.98,4.72,8.1,64.9,Victini,73.07,5.59,30.8,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greninja-Ash,2022-11,Chansey,79.61,5.11,5.8,73.8,Lopunny-Mega,84.03,7.07,37.9,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Koko,2022-11,Chansey,85.86,5.13,5.9,80,Excadrill,81.99,5.83,17.8,64.2,Ferrothorn,78.05,5.4,5.3,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrothorn,2022-11,Sableye-Mega,95.69,2.85,3.8,91.9,Heatran,92.32,3.48,9,83.4,Kommo-o,93.09,4.43,32.8,60.3,Medicham-Mega,85.7,5.16,34.2,51.5,Victini,87.17,5.74,32.6,54.5,Hawlucha,88.38,6.21,46.1,42.3,Volcarona,87.79,6.63,20.2,67.6,Blacephalon,87.03,6.64,27.7,59.3,,,,,,,,,,,,,,,,,,,,
Tapu Lele,2022-11,Victini,85.74,6.36,44.2,41.5,Kartana,81.84,5.72,50.5,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornadus-Therian,2022-11,Diancie-Mega,95.37,4.5,15.2,80.2,Mawile-Mega,91.55,5.38,47.5,44,Celesteela,82.51,7.29,18.1,64.4,Greninja-Ash,76.01,6.31,21.5,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kartana,2022-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serperior,2022-11,Hawlucha,93.58,5.23,68.7,24.8,Heatran,81.72,7.11,37.7,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom-Wash,2022-11,Kyurem-Black,95.73,4.01,28.3,67.5,Ferrothorn,85.49,4.67,5.7,79.8,Serperior,90.96,6.14,12,79,Tapu Lele,85.82,5,38.3,47.5,Medicham-Mega,83.83,5.43,36,47.8,Kartana,85.04,6.53,33.6,51.5,Tapu Bulu,82.72,7.3,24,58.8,Chansey,80.75,7.28,4,76.8,,,,,,,,,,,,,,,,,,,,
