name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Landorus-Therian,2022-11,Intimidate,100.000,,,,
Magearna,2022-11,Soul-Heart,100.000,,,,
Greninja-Ash,2022-11,Battle Bond,100.000,,,,
Tapu Koko,2022-11,Electric Surge,100.000,,,,
Ferrothorn,2022-11,Iron Barbs,99.996,Anticipation,0.004,,
Tapu Lele,2022-11,Psychic Surge,100.000,,,,
Tornadus-Therian,2022-11,Regenerator,100.000,,,,
Kartana,2022-11,Beast Boost,100.000,,,,
Serperior,2022-11,Contrary,99.811,Overgrow,0.189,,
Rotom-Wash,2022-11,Levitate,100.000,,,,
Medicham-Mega,2022-11,Pure Power,100.000,,,,
Toxapex,2022-11,Regenerator,99.490,Merciless,0.401,Limber,0.109
Excadrill,2022-11,Mold Breaker,77.914,Sand Rush,22.035,Sand Force,0.052
Tapu Fini,2022-11,Misty Surge,100.000,,,,
Hawlucha,2022-11,Unburden,98.609,Mold Breaker,1.360,Limber,0.031
Kyurem-Black,2022-11,Teravolt,100.000,,,,
Garchomp,2022-11,Rough Skin,99.514,Sand Veil,0.486,,
Heatran,2022-11,Flash Fire,100.000,,,,
Chansey,2022-11,Natural Cure,99.593,Healer,0.363,Serene Grace,0.044
Mawile-Mega,2022-11,Huge Power,100.000,,,,
Clefable,2022-11,Unaware,62.656,Magic Guard,37.120,Cute Charm,0.224
Pelipper,2022-11,Drizzle,99.977,Keen Eye,0.022,Rain Dish,0.000
Zapdos,2022-11,Static,87.069,Pressure,12.931,,
Swampert-Mega,2022-11,Swift Swim,100.000,,,,
Gliscor,2022-11,Poison Heal,99.856,Hyper Cutter,0.120,Sand Veil,0.024
Victini,2022-11,Victory Star,100.000,,,,
Greninja,2022-11,Protean,98.882,Torrent,1.118,,
Kommo-o,2022-11,Bulletproof,86.025,Overcoat,10.923,Soundproof,3.052
Charizard-Mega-X,2022-11,Tough Claws,100.000,,,,
Scizor-Mega,2022-11,Technician,100.000,,,,
Lopunny-Mega,2022-11,Scrappy,100.000,,,,
Tapu Bulu,2022-11,Grassy Surge,100.000,,,,
