Name,Gen,TypeOne,TypeTwo
Bulbasaur,7,Grass,Poison
Ivysaur,7,Grass,Poison
Venusaur,7,Grass,Poison
Venusaur-Mega,7,Grass,Poison
Charmander,7,Fire,
Charmeleon,7,Fire,
Charizard,7,Fire,Flying
Charizard-Mega-X,7,Fire,Dragon
Charizard-Mega-Y,7,Fire,Flying
Squirtle,7,Water,
Wartortle,7,Water,
Blastoise,7,Water,
Blastoise-Mega,7,Water,
Caterpie,7,Bug,
Metapod,7,Bug,
Butterfree,7,Bug,Flying
Weedle,7,Bug,Poison
Kakuna,7,Bug,Poison
Beedrill,7,Bug,Poison
Beedrill-Mega,7,Bug,Poison
Pidgey,7,Normal,Flying
Pidgeotto,7,Normal,Flying
Pidgeot,7,Normal,Flying
Pidgeot-Mega,7,Normal,Flying
Rattata,7,Normal,
Rattata-Alola,7,Dark,Normal
Raticate,7,Normal,
Raticate-Alola,7,Dark,Normal
Spearow,7,Normal,Flying
Fearow,7,Normal,Flying
Ekans,7,Poison,
Arbok,7,Poison,
Pikachu,7,Electric,
Pikachu-Alola,7,Electric,
Raichu,7,Electric,
Raichu-Alola,7,Electric,Psychic
Sandshrew,7,Ground,
Sandshrew-Alola,7,Ice,Steel
Sandslash,7,Ground,
Sandslash-Alola,7,Ice,Steel
Nidoran-F,7,Poison,
Nidorina,7,Poison,
Nidoqueen,7,Poison,Ground
Nidoran-M,7,Poison,
Nidorino,7,Poison,
Nidoking,7,Poison,Ground
Clefairy,7,Fairy,
Clefable,7,Fairy,
Vulpix,7,Fire,
Vulpix-Alola,7,Ice,
Ninetales,7,Fire,
Ninetales-Alola,7,Ice,Fairy
Jigglypuff,7,Normal,Fairy
Wigglytuff,7,Normal,Fairy
Zubat,7,Poison,Flying
Golbat,7,Poison,Flying
Oddish,7,Grass,Poison
Gloom,7,Grass,Poison
Vileplume,7,Grass,Poison
Paras,7,Bug,Grass
Parasect,7,Bug,Grass
Venonat,7,Bug,Poison
Venomoth,7,Bug,Poison
Diglett,7,Ground,
Diglett-Alola,7,Ground,Steel
Dugtrio,7,Ground,
Dugtrio-Alola,7,Ground,Steel
Meowth,7,Normal,
Meowth-Alola,7,Dark,
Persian,7,Normal,
Persian-Alola,7,Dark,
Psyduck,7,Water,
Golduck,7,Water,
Mankey,7,Fighting,
Primeape,7,Fighting,
Growlithe,7,Fire,
Arcanine,7,Fire,
Poliwag,7,Water,
Poliwhirl,7,Water,
Poliwrath,7,Water,Fighting
Abra,7,Psychic,
Kadabra,7,Psychic,
Alakazam,7,Psychic,
Alakazam-Mega,7,Psychic,
Machop,7,Fighting,
Machoke,7,Fighting,
Machamp,7,Fighting,
Bellsprout,7,Grass,Poison
Weepinbell,7,Grass,Poison
Victreebel,7,Grass,Poison
Tentacool,7,Water,Poison
Tentacruel,7,Water,Poison
Geodude,7,Rock,Ground
Geodude-Alola,7,Rock,Electric
Graveler,7,Rock,Ground
Graveler-Alola,7,Rock,Electric
Golem,7,Rock,Ground
Golem-Alola,7,Rock,Electric
Ponyta,7,Fire,
Rapidash,7,Fire,
Slowpoke,7,Water,Psychic
Slowbro,7,Water,Psychic
Slowbro-Mega,7,Water,Psychic
Magnemite,7,Electric,Steel
Magneton,7,Electric,Steel
Farfetch’d,7,Normal,Flying
Doduo,7,Normal,Flying
Dodrio,7,Normal,Flying
Seel,7,Water,
Dewgong,7,Water,Ice
Grimer,7,Poison,
Grimer-Alola,7,Poison,Dark
Muk,7,Poison,
Muk-Alola,7,Poison,Dark
Shellder,7,Water,
Cloyster,7,Water,Ice
Gastly,7,Ghost,Poison
Haunter,7,Ghost,Poison
Gengar,7,Ghost,Poison
Gengar-Mega,7,Ghost,Poison
Onix,7,Rock,Ground
Drowzee,7,Psychic,
Hypno,7,Psychic,
Krabby,7,Water,
Kingler,7,Water,
Voltorb,7,Electric,
Electrode,7,Electric,
Exeggcute,7,Grass,Psychic
Exeggutor,7,Grass,Psychic
Exeggutor-Alola,7,Grass,Dragon
Cubone,7,Ground,
Marowak,7,Ground,
Marowak-Alola,7,Fire,Ghost
Hitmonlee,7,Fighting,
Hitmonchan,7,Fighting,
Lickitung,7,Normal,
Koffing,7,Poison,
Weezing,7,Poison,
Rhyhorn,7,Ground,Rock
Rhydon,7,Ground,Rock
Chansey,7,Normal,
Tangela,7,Grass,
Kangaskhan,7,Normal,
Kangaskhan-Mega,7,Normal,
Horsea,7,Water,
Seadra,7,Water,
Goldeen,7,Water,
Seaking,7,Water,
Staryu,7,Water,
Starmie,7,Water,Psychic
Mr. Mime,7,Psychic,Fairy
Scyther,7,Bug,Flying
Jynx,7,Ice,Psychic
Electabuzz,7,Electric,
Magmar,7,Fire,
Pinsir,7,Bug,
Pinsir-Mega,7,Bug,Flying
Tauros,7,Normal,
Magikarp,7,Water,
Gyarados,7,Water,Flying
Gyarados-Mega,7,Water,Dark
Lapras,7,Water,Ice
Ditto,7,Normal,
Eevee,7,Normal,
Vaporeon,7,Water,
Jolteon,7,Electric,
Flareon,7,Fire,
Porygon,7,Normal,
Omanyte,7,Rock,Water
Omastar,7,Rock,Water
Kabuto,7,Rock,Water
Kabutops,7,Rock,Water
Aerodactyl,7,Rock,Flying
Aerodactyl-Mega,7,Rock,Flying
Snorlax,7,Normal,
Articuno,7,Ice,Flying
Zapdos,7,Electric,Flying
Moltres,7,Fire,Flying
Dratini,7,Dragon,
Dragonair,7,Dragon,
Dragonite,7,Dragon,Flying
Mewtwo,7,Psychic,
Mewtwo-Mega-X,7,Psychic,Fighting
Mewtwo-Mega-Y,7,Psychic,
Mew,7,Psychic,
Chikorita,7,Grass,
Bayleef,7,Grass,
Meganium,7,Grass,
Cyndaquil,7,Fire,
Quilava,7,Fire,
Typhlosion,7,Fire,
Totodile,7,Water,
Croconaw,7,Water,
Feraligatr,7,Water,
Sentret,7,Normal,
Furret,7,Normal,
Hoothoot,7,Normal,Flying
Noctowl,7,Normal,Flying
Ledyba,7,Bug,Flying
Ledian,7,Bug,Flying
Spinarak,7,Bug,Poison
Ariados,7,Bug,Poison
Crobat,7,Poison,Flying
Chinchou,7,Water,Electric
Lanturn,7,Water,Electric
Pichu,7,Electric,
Cleffa,7,Fairy,
Igglybuff,7,Normal,Fairy
Togepi,7,Fairy,
Togetic,7,Fairy,Flying
Natu,7,Psychic,Flying
Xatu,7,Psychic,Flying
Mareep,7,Electric,
Flaaffy,7,Electric,
Ampharos,7,Electric,
Ampharos-Mega,7,Electric,Dragon
Bellossom,7,Grass,
Marill,7,Water,Fairy
Azumarill,7,Water,Fairy
Sudowoodo,7,Rock,
Politoed,7,Water,
Hoppip,7,Grass,Flying
Skiploom,7,Grass,Flying
Jumpluff,7,Grass,Flying
Aipom,7,Normal,
Sunkern,7,Grass,
Sunflora,7,Grass,
Yanma,7,Bug,Flying
Wooper,7,Water,Ground
Quagsire,7,Water,Ground
Espeon,7,Psychic,
Umbreon,7,Dark,
Murkrow,7,Dark,Flying
Slowking,7,Water,Psychic
Misdreavus,7,Ghost,
Unown,7,Psychic,
Wobbuffet,7,Psychic,
Girafarig,7,Normal,Psychic
Pineco,7,Bug,
Forretress,7,Bug,Steel
Dunsparce,7,Normal,
Gligar,7,Ground,Flying
Steelix,7,Steel,Ground
Steelix-Mega,7,Steel,Ground
Snubbull,7,Fairy,
Granbull,7,Fairy,
Qwilfish,7,Water,Poison
Scizor,7,Bug,Steel
Scizor-Mega,7,Bug,Steel
Shuckle,7,Bug,Rock
Heracross,7,Bug,Fighting
Heracross-Mega,7,Bug,Fighting
Sneasel,7,Dark,Ice
Teddiursa,7,Normal,
Ursaring,7,Normal,
Slugma,7,Fire,
Magcargo,7,Fire,Rock
Swinub,7,Ice,Ground
Piloswine,7,Ice,Ground
Corsola,7,Water,Rock
Remoraid,7,Water,
Octillery,7,Water,
Delibird,7,Ice,Flying
Mantine,7,Water,Flying
Skarmory,7,Steel,Flying
Houndour,7,Dark,Fire
Houndoom,7,Dark,Fire
Houndoom-Mega,7,Dark,Fire
Kingdra,7,Water,Dragon
Phanpy,7,Ground,
Donphan,7,Ground,
Porygon2,7,Normal,
Stantler,7,Normal,
Smeargle,7,Normal,
Tyrogue,7,Fighting,
Hitmontop,7,Fighting,
Smoochum,7,Ice,Psychic
Elekid,7,Electric,
Magby,7,Fire,
Miltank,7,Normal,
Blissey,7,Normal,
Raikou,7,Electric,
Entei,7,Fire,
Suicune,7,Water,
Larvitar,7,Rock,Ground
Pupitar,7,Rock,Ground
Tyranitar,7,Rock,Dark
Tyranitar-Mega,7,Rock,Dark
Lugia,7,Psychic,Flying
Ho-Oh,7,Fire,Flying
Celebi,7,Psychic,Grass
Treecko,7,Grass,
Grovyle,7,Grass,
Sceptile,7,Grass,
Sceptile-Mega,7,Grass,Dragon
Torchic,7,Fire,
Combusken,7,Fire,Fighting
Blaziken,7,Fire,Fighting
Blaziken-Mega,7,Fire,Fighting
Mudkip,7,Water,
Marshtomp,7,Water,Ground
Swampert,7,Water,Ground
Swampert-Mega,7,Water,Ground
Poochyena,7,Dark,
Mightyena,7,Dark,
Zigzagoon,7,Normal,
Linoone,7,Normal,
Wurmple,7,Bug,
Silcoon,7,Bug,
Beautifly,7,Bug,Flying
Cascoon,7,Bug,
Dustox,7,Bug,Poison
Lotad,7,Water,Grass
Lombre,7,Water,Grass
Ludicolo,7,Water,Grass
Seedot,7,Grass,
Nuzleaf,7,Grass,Dark
Shiftry,7,Grass,Dark
Taillow,7,Normal,Flying
Swellow,7,Normal,Flying
Wingull,7,Water,Flying
Pelipper,7,Water,Flying
Ralts,7,Psychic,Fairy
Kirlia,7,Psychic,Fairy
Gardevoir,7,Psychic,Fairy
Gardevoir-Mega,7,Psychic,Fairy
Surskit,7,Bug,Water
Masquerain,7,Bug,Flying
Shroomish,7,Grass,
Breloom,7,Grass,Fighting
Slakoth,7,Normal,
Vigoroth,7,Normal,
Slaking,7,Normal,
Nincada,7,Bug,Ground
Ninjask,7,Bug,Flying
Shedinja,7,Bug,Ghost
Whismur,7,Normal,
Loudred,7,Normal,
Exploud,7,Normal,
Makuhita,7,Fighting,
Hariyama,7,Fighting,
Azurill,7,Normal,Fairy
Nosepass,7,Rock,
Skitty,7,Normal,
Delcatty,7,Normal,
Sableye,7,Dark,Ghost
Sableye-Mega,7,Dark,Ghost
Mawile,7,Steel,Fairy
Mawile-Mega,7,Steel,Fairy
Aron,7,Steel,Rock
Lairon,7,Steel,Rock
Aggron,7,Steel,Rock
Aggron-Mega,7,Steel,
Meditite,7,Fighting,Psychic
Medicham,7,Fighting,Psychic
Medicham-Mega,7,Fighting,Psychic
Electrike,7,Electric,
Manectric,7,Electric,
Manectric-Mega,7,Electric,
Plusle,7,Electric,
Minun,7,Electric,
Volbeat,7,Bug,
Illumise,7,Bug,
Roselia,7,Grass,Poison
Gulpin,7,Poison,
Swalot,7,Poison,
Carvanha,7,Water,Dark
Sharpedo,7,Water,Dark
Sharpedo-Mega,7,Water,Dark
Wailmer,7,Water,
Wailord,7,Water,
Numel,7,Fire,Ground
Camerupt,7,Fire,Ground
Camerupt-Mega,7,Fire,Ground
Torkoal,7,Fire,
Spoink,7,Psychic,
Grumpig,7,Psychic,
Spinda,7,Normal,
Trapinch,7,Ground,
Vibrava,7,Ground,Dragon
Flygon,7,Ground,Dragon
Cacnea,7,Grass,
Cacturne,7,Grass,Dark
Swablu,7,Normal,Flying
Altaria,7,Dragon,Flying
Altaria-Mega,7,Dragon,Fairy
Zangoose,7,Normal,
Seviper,7,Poison,
Lunatone,7,Rock,Psychic
Solrock,7,Rock,Psychic
Barboach,7,Water,Ground
Whiscash,7,Water,Ground
Corphish,7,Water,
Crawdaunt,7,Water,Dark
Baltoy,7,Ground,Psychic
Claydol,7,Ground,Psychic
Lileep,7,Rock,Grass
Cradily,7,Rock,Grass
Anorith,7,Rock,Bug
Armaldo,7,Rock,Bug
Feebas,7,Water,
Milotic,7,Water,
Castform,7,Normal,
Kecleon,7,Normal,
Shuppet,7,Ghost,
Banette,7,Ghost,
Banette-Mega,7,Ghost,
Duskull,7,Ghost,
Dusclops,7,Ghost,
Tropius,7,Grass,Flying
Chimecho,7,Psychic,
Absol,7,Dark,
Absol-Mega,7,Dark,
Wynaut,7,Psychic,
Snorunt,7,Ice,
Glalie,7,Ice,
Glalie-Mega,7,Ice,
Spheal,7,Ice,Water
Sealeo,7,Ice,Water
Walrein,7,Ice,Water
Clamperl,7,Water,
Huntail,7,Water,
Gorebyss,7,Water,
Relicanth,7,Water,Rock
Luvdisc,7,Water,
Bagon,7,Dragon,
Shelgon,7,Dragon,
Salamence,7,Dragon,Flying
Salamence-Mega,7,Dragon,Flying
Beldum,7,Steel,Psychic
Metang,7,Steel,Psychic
Metagross,7,Steel,Psychic
Metagross-Mega,7,Steel,Psychic
Regirock,7,Rock,
Regice,7,Ice,
Registeel,7,Steel,
Latias,7,Dragon,Psychic
Latias-Mega,7,Dragon,Psychic
Latios,7,Dragon,Psychic
Latios-Mega,7,Dragon,Psychic
Kyogre,7,Water,
Kyogre-Primal,7,Water,
Groudon,7,Ground,
Groudon-Primal,7,Ground,Fire
Rayquaza,7,Dragon,Flying
Rayquaza-Mega,7,Dragon,Flying
Jirachi,7,Steel,Psychic
Deoxys,7,Psychic,
Deoxys-Attack,7,Psychic,
Deoxys-Defense,7,Psychic,
Deoxys-Speed,7,Psychic,
Turtwig,7,Grass,
Grotle,7,Grass,
Torterra,7,Grass,Ground
Chimchar,7,Fire,
Monferno,7,Fire,Fighting
Infernape,7,Fire,Fighting
Piplup,7,Water,
Prinplup,7,Water,
Empoleon,7,Water,Steel
Starly,7,Normal,Flying
Staravia,7,Normal,Flying
Staraptor,7,Normal,Flying
Bidoof,7,Normal,
Bibarel,7,Normal,Water
Kricketot,7,Bug,
Kricketune,7,Bug,
Shinx,7,Electric,
Luxio,7,Electric,
Luxray,7,Electric,
Budew,7,Grass,Poison
Roserade,7,Grass,Poison
Cranidos,7,Rock,
Rampardos,7,Rock,
Shieldon,7,Rock,Steel
Bastiodon,7,Rock,Steel
Burmy,7,Bug,
Wormadam,7,Bug,Grass
Wormadam-Sandy,7,Bug,Ground
Wormadam-Trash,7,Bug,Steel
Mothim,7,Bug,Flying
Combee,7,Bug,Flying
Vespiquen,7,Bug,Flying
Pachirisu,7,Electric,
Buizel,7,Water,
Floatzel,7,Water,
Cherubi,7,Grass,
Cherrim,7,Grass,
Shellos,7,Water,
Gastrodon,7,Water,Ground
Ambipom,7,Normal,
Drifloon,7,Ghost,Flying
Drifblim,7,Ghost,Flying
Buneary,7,Normal,
Lopunny,7,Normal,
Lopunny-Mega,7,Normal,Fighting
Mismagius,7,Ghost,
Honchkrow,7,Dark,Flying
Glameow,7,Normal,
Purugly,7,Normal,
Chingling,7,Psychic,
Stunky,7,Poison,Dark
Skuntank,7,Poison,Dark
Bronzor,7,Steel,Psychic
Bronzong,7,Steel,Psychic
Bonsly,7,Rock,
Mime Jr.,7,Psychic,Fairy
Happiny,7,Normal,
Chatot,7,Normal,Flying
Spiritomb,7,Ghost,Dark
Gible,7,Dragon,Ground
Gabite,7,Dragon,Ground
Garchomp,7,Dragon,Ground
Garchomp-Mega,7,Dragon,Ground
Munchlax,7,Normal,
Riolu,7,Fighting,
Lucario,7,Fighting,Steel
Lucario-Mega,7,Fighting,Steel
Hippopotas,7,Ground,
Hippowdon,7,Ground,
Skorupi,7,Poison,Bug
Drapion,7,Poison,Dark
Croagunk,7,Poison,Fighting
Toxicroak,7,Poison,Fighting
Carnivine,7,Grass,
Finneon,7,Water,
Lumineon,7,Water,
Mantyke,7,Water,Flying
Snover,7,Grass,Ice
Abomasnow,7,Grass,Ice
Abomasnow-Mega,7,Grass,Ice
Weavile,7,Dark,Ice
Magnezone,7,Electric,Steel
Lickilicky,7,Normal,
Rhyperior,7,Ground,Rock
Tangrowth,7,Grass,
Electivire,7,Electric,
Magmortar,7,Fire,
Togekiss,7,Fairy,Flying
Yanmega,7,Bug,Flying
Leafeon,7,Grass,
Glaceon,7,Ice,
Gliscor,7,Ground,Flying
Mamoswine,7,Ice,Ground
Porygon-Z,7,Normal,
Gallade,7,Psychic,Fighting
Gallade-Mega,7,Psychic,Fighting
Probopass,7,Rock,Steel
Dusknoir,7,Ghost,
Froslass,7,Ice,Ghost
Rotom,7,Electric,Ghost
Rotom-Heat,7,Electric,Fire
Rotom-Wash,7,Electric,Water
Rotom-Frost,7,Electric,Ice
Rotom-Fan,7,Electric,Flying
Rotom-Mow,7,Electric,Grass
Uxie,7,Psychic,
Mesprit,7,Psychic,
Azelf,7,Psychic,
Dialga,7,Steel,Dragon
Palkia,7,Water,Dragon
Heatran,7,Fire,Steel
Regigigas,7,Normal,
Giratina,7,Ghost,Dragon
Giratina-Origin,7,Ghost,Dragon
Cresselia,7,Psychic,
Phione,7,Water,
Manaphy,7,Water,
Darkrai,7,Dark,
Shaymin,7,Grass,
Shaymin-Sky,7,Grass,Flying
Arceus,7,Normal,
Arceus-Bug,7,Bug,
Arceus-Dark,7,Dark,
Arceus-Dragon,7,Dragon,
Arceus-Electric,7,Electric,
Arceus-Fairy,7,Fairy,
Arceus-Fighting,7,Fighting,
Arceus-Fire,7,Fire,
Arceus-Flying,7,Flying,
Arceus-Ghost,7,Ghost,
Arceus-Grass,7,Grass,
Arceus-Ground,7,Ground,
Arceus-Ice,7,Ice,
Arceus-Poison,7,Poison,
Arceus-Psychic,7,Psychic,
Arceus-Rock,7,Rock,
Arceus-Steel,7,Steel,
Arceus-Water,7,Water,
Victini,7,Psychic,Fire
Snivy,7,Grass,
Servine,7,Grass,
Serperior,7,Grass,
Tepig,7,Fire,
Pignite,7,Fire,Fighting
Emboar,7,Fire,Fighting
Oshawott,7,Water,
Dewott,7,Water,
Samurott,7,Water,
Patrat,7,Normal,
Watchog,7,Normal,
Lillipup,7,Normal,
Herdier,7,Normal,
Stoutland,7,Normal,
Purrloin,7,Dark,
Liepard,7,Dark,
Pansage,7,Grass,
Simisage,7,Grass,
Pansear,7,Fire,
Simisear,7,Fire,
Panpour,7,Water,
Simipour,7,Water,
Munna,7,Psychic,
Musharna,7,Psychic,
Pidove,7,Normal,Flying
Tranquill,7,Normal,Flying
Unfezant,7,Normal,Flying
Blitzle,7,Electric,
Zebstrika,7,Electric,
Roggenrola,7,Rock,
