Name,Gen,TypeOne,TypeTwo
Bulbasaur,8,Grass,Poison
Ivysaur,8,Grass,Poison
Venusaur,8,Grass,Poison
Venusaur-Mega,8,Grass,Poison
Charmander,8,Fire,
Charmeleon,8,Fire,
Charizard,8,Fire,Flying
Charizard-Mega-X,8,Fire,Dragon
Charizard-Mega-Y,8,Fire,Flying
Squirtle,8,Water,
Wartortle,8,Water,
Blastoise,8,Water,
Blastoise-Mega,8,Water,
Caterpie,8,Bug,
Metapod,8,Bug,
Butterfree,8,Bug,Flying
Weedle,8,Bug,Poison
Kakuna,8,Bug,Poison
Beedrill,8,Bug,Poison
Beedrill-Mega,8,Bug,Poison
Pidgey,8,Normal,Flying
Pidgeotto,8,Normal,Flying
Pidgeot,8,Normal,Flying
Pidgeot-Mega,8,Normal,Flying
Rattata,8,Normal,
Rattata-Alola,8,Dark,Normal
Raticate,8,Normal,
Raticate-Alola,8,Dark,Normal
Spearow,8,Normal,Flying
Fearow,8,Normal,Flying
Ekans,8,Poison,
Arbok,8,Poison,
Pikachu,8,Electric,
Pikachu-Alola,8,Electric,
Raichu,8,Electric,
Raichu-Alola,8,Electric,Psychic
Sandshrew,8,Ground,
Sandshrew-Alola,8,Ice,Steel
Sandslash,8,Ground,
Sandslash-Alola,8,Ice,Steel
Nidoran-F,8,Poison,
Nidorina,8,Poison,
Nidoqueen,8,Poison,Ground
Nidoran-M,8,Poison,
Nidorino,8,Poison,
Nidoking,8,Poison,Ground
Clefairy,8,Fairy,
Clefable,8,Fairy,
Vulpix,8,Fire,
Vulpix-Alola,8,Ice,
Ninetales,8,Fire,
Ninetales-Alola,8,Ice,Fairy
Jigglypuff,8,Normal,Fairy
Wigglytuff,8,Normal,Fairy
Zubat,8,Poison,Flying
Golbat,8,Poison,Flying
Oddish,8,Grass,Poison
Gloom,8,Grass,Poison
Vileplume,8,Grass,Poison
Paras,8,Bug,Grass
Parasect,8,Bug,Grass
Venonat,8,Bug,Poison
Venomoth,8,Bug,Poison
Diglett,8,Ground,
Diglett-Alola,8,Ground,Steel
Dugtrio,8,Ground,
Dugtrio-Alola,8,Ground,Steel
Meowth,8,Normal,
Meowth-Alola,8,Dark,
Meowth-Galar,8,Steel,
Persian,8,Normal,
Persian-Alola,8,Dark,
Psyduck,8,Water,
Golduck,8,Water,
Mankey,8,Fighting,
Primeape,8,Fighting,
Growlithe,8,Fire,
Arcanine,8,Fire,
Poliwag,8,Water,
Poliwhirl,8,Water,
Poliwrath,8,Water,Fighting
Abra,8,Psychic,
Kadabra,8,Psychic,
Alakazam,8,Psychic,
Alakazam-Mega,8,Psychic,
Machop,8,Fighting,
Machoke,8,Fighting,
Machamp,8,Fighting,
Bellsprout,8,Grass,Poison
Weepinbell,8,Grass,Poison
Victreebel,8,Grass,Poison
Tentacool,8,Water,Poison
Tentacruel,8,Water,Poison
Geodude,8,Rock,Ground
Geodude-Alola,8,Rock,Electric
Graveler,8,Rock,Ground
Graveler-Alola,8,Rock,Electric
Golem,8,Rock,Ground
Golem-Alola,8,Rock,Electric
Ponyta,8,Fire,
Ponyta-Galar,8,Psychic,
Rapidash,8,Fire,
Rapidash-Galar,8,Psychic,Fairy
Slowpoke,8,Water,Psychic
Slowpoke-Galar,8,Psychic,
Slowbro,8,Water,Psychic
Slowbro-Mega,8,Water,Psychic
Slowbro-Galar,8,Poison,Psychic
Magnemite,8,Electric,Steel
Magneton,8,Electric,Steel
Farfetch’d,8,Normal,Flying
Farfetch’d-Galar,8,Fighting,
Doduo,8,Normal,Flying
Dodrio,8,Normal,Flying
Seel,8,Water,
Dewgong,8,Water,Ice
Grimer,8,Poison,
Grimer-Alola,8,Poison,Dark
Muk,8,Poison,
Muk-Alola,8,Poison,Dark
Shellder,8,Water,
Cloyster,8,Water,Ice
Gastly,8,Ghost,Poison
Haunter,8,Ghost,Poison
Gengar,8,Ghost,Poison
Gengar-Mega,8,Ghost,Poison
Onix,8,Rock,Ground
Drowzee,8,Psychic,
Hypno,8,Psychic,
Krabby,8,Water,
Kingler,8,Water,
Voltorb,8,Electric,
Electrode,8,Electric,
Exeggcute,8,Grass,Psychic
Exeggutor,8,Grass,Psychic
Exeggutor-Alola,8,Grass,Dragon
Cubone,8,Ground,
Marowak,8,Ground,
Marowak-Alola,8,Fire,Ghost
Hitmonlee,8,Fighting,
Hitmonchan,8,Fighting,
Lickitung,8,Normal,
Koffing,8,Poison,
Weezing,8,Poison,
Weezing-Galar,8,Poison,Fairy
Rhyhorn,8,Ground,Rock
Rhydon,8,Ground,Rock
Chansey,8,Normal,
Tangela,8,Grass,
Kangaskhan,8,Normal,
Kangaskhan-Mega,8,Normal,
Horsea,8,Water,
Seadra,8,Water,
Goldeen,8,Water,
Seaking,8,Water,
Staryu,8,Water,
Starmie,8,Water,Psychic
Mr. Mime,8,Psychic,Fairy
Mr. Mime-Galar,8,Ice,Psychic
Scyther,8,Bug,Flying
Jynx,8,Ice,Psychic
Electabuzz,8,Electric,
Magmar,8,Fire,
Pinsir,8,Bug,
Pinsir-Mega,8,Bug,Flying
Tauros,8,Normal,
Magikarp,8,Water,
Gyarados,8,Water,Flying
Gyarados-Mega,8,Water,Dark
Lapras,8,Water,Ice
Ditto,8,Normal,
Eevee,8,Normal,
Vaporeon,8,Water,
Jolteon,8,Electric,
Flareon,8,Fire,
Porygon,8,Normal,
Omanyte,8,Rock,Water
Omastar,8,Rock,Water
Kabuto,8,Rock,Water
Kabutops,8,Rock,Water
Aerodactyl,8,Rock,Flying
Aerodactyl-Mega,8,Rock,Flying
Snorlax,8,Normal,
Articuno,8,Ice,Flying
Articuno-Galar,8,Psychic,Flying
Zapdos,8,Electric,Flying
Zapdos-Galar,8,Fighting,Flying
Moltres,8,Fire,Flying
Moltres-Galar,8,Dark,Flying
Dratini,8,Dragon,
Dragonair,8,Dragon,
Dragonite,8,Dragon,Flying
Mewtwo,8,Psychic,
Mewtwo-Mega-X,8,Psychic,Fighting
Mewtwo-Mega-Y,8,Psychic,
Mew,8,Psychic,
Chikorita,8,Grass,
Bayleef,8,Grass,
Meganium,8,Grass,
Cyndaquil,8,Fire,
Quilava,8,Fire,
Typhlosion,8,Fire,
Totodile,8,Water,
Croconaw,8,Water,
Feraligatr,8,Water,
Sentret,8,Normal,
Furret,8,Normal,
Hoothoot,8,Normal,Flying
Noctowl,8,Normal,Flying
Ledyba,8,Bug,Flying
Ledian,8,Bug,Flying
Spinarak,8,Bug,Poison
Ariados,8,Bug,Poison
Crobat,8,Poison,Flying
Chinchou,8,Water,Electric
Lanturn,8,Water,Electric
Pichu,8,Electric,
Cleffa,8,Fairy,
Igglybuff,8,Normal,Fairy
Togepi,8,Fairy,
Togetic,8,Fairy,Flying
Natu,8,Psychic,Flying
Xatu,8,Psychic,Flying
