Name,Gen,HP,Attack,Defense,Sp_attack,Sp_defense,Speed
Bulbasaur,7,45,49,49,65,65,45
Ivysaur,7,60,62,63,80,80,60
Venusaur,7,80,82,83,100,100,80
Venusaur-Mega,7,80,100,123,122,120,80
Charmander,7,39,52,43,60,50,65
Charmeleon,7,58,64,58,80,65,80
Charizard,7,78,84,78,109,85,100
Charizard-Mega-X,7,78,130,111,130,85,100
Charizard-Mega-Y,7,78,104,78,159,115,100
Squirtle,7,44,48,65,50,64,43
Wartortle,7,59,63,80,65,80,58
Blastoise,7,79,83,100,85,105,78
Blastoise-Mega,7,79,103,120,135,115,78
Caterpie,7,45,30,35,20,20,45
Metapod,7,50,20,55,25,25,30
Butterfree,7,60,45,50,90,80,70
Weedle,7,40,35,30,20,20,50
Kakuna,7,45,25,50,25,25,35
Beedrill,7,65,90,40,45,80,75
Beedrill-Mega,7,65,150,40,15,80,145
Pidgey,7,40,45,40,35,35,56
Pidgeotto,7,63,60,55,50,50,71
Pidgeot,7,83,80,75,70,70,101
Pidgeot-Mega,7,83,80,80,135,80,121
Rattata,7,30,56,35,25,35,72
Rattata-Alola,7,30,56,35,25,35,72
Raticate,7,55,81,60,50,70,97
Raticate-Alola,7,75,71,70,40,80,77
Spearow,7,40,60,30,31,31,70
Fearow,7,65,90,65,61,61,100
Ekans,7,35,60,44,40,54,55
Arbok,7,60,95,69,65,79,80
Pikachu,7,35,55,40,50,50,90
Pikachu-Alola,7,35,55,40,50,50,90
Raichu,7,60,90,55,90,80,110
Raichu-Alola,7,60,85,50,95,85,110
Sandshrew,7,50,75,85,20,30,40
Sandshrew-Alola,7,50,75,90,10,35,40
Sandslash,7,75,100,110,45,55,65
Sandslash-Alola,7,75,100,120,25,65,65
Nidoran-F,7,55,47,52,40,40,41
Nidorina,7,70,62,67,55,55,56
Nidoqueen,7,90,92,87,75,85,76
Nidoran-M,7,46,57,40,40,40,50
Nidorino,7,61,72,57,55,55,65
Nidoking,7,81,102,77,85,75,85
Clefairy,7,70,45,48,60,65,35
Clefable,7,95,70,73,95,90,60
Vulpix,7,38,41,40,50,65,65
Vulpix-Alola,7,38,41,40,50,65,65
Ninetales,7,73,76,75,81,100,100
Ninetales-Alola,7,73,67,75,81,100,109
Jigglypuff,7,115,45,20,45,25,20
Wigglytuff,7,140,70,45,85,50,45
Zubat,7,40,45,35,30,40,55
Golbat,7,75,80,70,65,75,90
Oddish,7,45,50,55,75,65,30
Gloom,7,60,65,70,85,75,40
Vileplume,7,75,80,85,110,90,50
Paras,7,35,70,55,45,55,25
Parasect,7,60,95,80,60,80,30
Venonat,7,60,55,50,40,55,45
Venomoth,7,70,65,60,90,75,90
Diglett,7,10,55,25,35,45,95
Diglett-Alola,7,10,55,30,35,45,90
Dugtrio,7,35,100,50,50,70,120
Dugtrio-Alola,7,35,100,60,50,70,110
Meowth,7,40,45,35,40,40,90
Meowth-Alola,7,40,35,35,50,40,90
Persian,7,65,70,60,65,65,115
Persian-Alola,7,65,60,60,75,65,115
Psyduck,7,50,52,48,65,50,55
Golduck,7,80,82,78,95,80,85
Mankey,7,40,80,35,35,45,70
Primeape,7,65,105,60,60,70,95
Growlithe,7,55,70,45,70,50,60
Arcanine,7,90,110,80,100,80,95
Poliwag,7,40,50,40,40,40,90
Poliwhirl,7,65,65,65,50,50,90
Poliwrath,7,90,95,95,70,90,70
Abra,7,25,20,15,105,55,90
Kadabra,7,40,35,30,120,70,105
Alakazam,7,55,50,45,135,95,120
Alakazam-Mega,7,55,50,65,175,105,150
Machop,7,70,80,50,35,35,35
Machoke,7,80,100,70,50,60,45
Machamp,7,90,130,80,65,85,55
Bellsprout,7,50,75,35,70,30,40
Weepinbell,7,65,90,50,85,45,55
Victreebel,7,80,105,65,100,70,70
Tentacool,7,40,40,35,50,100,70
Tentacruel,7,80,70,65,80,120,100
Geodude,7,40,80,100,30,30,20
Geodude-Alola,7,40,80,100,30,30,20
Graveler,7,55,95,115,45,45,35
Graveler-Alola,7,55,95,115,45,45,35
Golem,7,80,120,130,55,65,45
Golem-Alola,7,80,120,130,55,65,45
Ponyta,7,50,85,55,65,65,90
Rapidash,7,65,100,70,80,80,105
Slowpoke,7,90,65,65,40,40,15
Slowbro,7,95,75,110,100,80,30
Slowbro-Mega,7,95,75,180,130,80,30
Magnemite,7,25,35,70,95,55,45
Magneton,7,50,60,95,120,70,70
Farfetch’d,7,52,90,55,58,62,60
Doduo,7,35,85,45,35,35,75
Dodrio,7,60,110,70,60,60,110
Seel,7,65,45,55,45,70,45
Dewgong,7,90,70,80,70,95,70
Grimer,7,80,80,50,40,50,25
Grimer-Alola,7,80,80,50,40,50,25
Muk,7,105,105,75,65,100,50
Muk-Alola,7,105,105,75,65,100,50
Shellder,7,30,65,100,45,25,40
Cloyster,7,50,95,180,85,45,70
Gastly,7,30,35,30,100,35,80
Haunter,7,45,50,45,115,55,95
Gengar,7,60,65,60,130,75,110
Gengar-Mega,7,60,65,80,170,95,130
Onix,7,35,45,160,30,45,70
Drowzee,7,60,48,45,43,90,42
Hypno,7,85,73,70,73,115,67
Krabby,7,30,105,90,25,25,50
Kingler,7,55,130,115,50,50,75
Voltorb,7,40,30,50,55,55,100
Electrode,7,60,50,70,80,80,150
Exeggcute,7,60,40,80,60,45,40
Exeggutor,7,95,95,85,125,75,55
Exeggutor-Alola,7,95,105,85,125,75,45
Cubone,7,50,50,95,40,50,35
Marowak,7,60,80,110,50,80,45
Marowak-Alola,7,60,80,110,50,80,45
Hitmonlee,7,50,120,53,35,110,87
Hitmonchan,7,50,105,79,35,110,76
Lickitung,7,90,55,75,60,75,30
Koffing,7,40,65,95,60,45,35
Weezing,7,65,90,120,85,70,60
Rhyhorn,7,80,85,95,30,30,25
Rhydon,7,105,130,120,45,45,40
Chansey,7,250,5,5,35,105,50
Tangela,7,65,55,115,100,40,60
Kangaskhan,7,105,95,80,40,80,90
Kangaskhan-Mega,7,105,125,100,60,100,100
Horsea,7,30,40,70,70,25,60
Seadra,7,55,65,95,95,45,85
Goldeen,7,45,67,60,35,50,63
Seaking,7,80,92,65,65,80,68
Staryu,7,30,45,55,70,55,85
Starmie,7,60,75,85,100,85,115
Mr. Mime,7,40,45,65,100,120,90
Scyther,7,70,110,80,55,80,105
Jynx,7,65,50,35,115,95,95
Electabuzz,7,65,83,57,95,85,105
Magmar,7,65,95,57,100,85,93
Pinsir,7,65,125,100,55,70,85
Pinsir-Mega,7,65,155,120,65,90,105
Tauros,7,75,100,95,40,70,110
Magikarp,7,20,10,55,15,20,80
Gyarados,7,95,125,79,60,100,81
Gyarados-Mega,7,95,155,109,70,130,81
Lapras,7,130,85,80,85,95,60
Ditto,7,48,48,48,48,48,48
Eevee,7,55,55,50,45,65,55
Vaporeon,7,130,65,60,110,95,65
Jolteon,7,65,65,60,110,95,130
Flareon,7,65,130,60,95,110,65
Porygon,7,65,60,70,85,75,40
Omanyte,7,35,40,100,90,55,35
Omastar,7,70,60,125,115,70,55
Kabuto,7,30,80,90,55,45,55
Kabutops,7,60,115,105,65,70,80
Aerodactyl,7,80,105,65,60,75,130
Aerodactyl-Mega,7,80,135,85,70,95,150
Snorlax,7,160,110,65,65,110,30
Articuno,7,90,85,100,95,125,85
Zapdos,7,90,90,85,125,90,100
Moltres,7,90,100,90,125,85,90
Dratini,7,41,64,45,50,50,50
Dragonair,7,61,84,65,70,70,70
Dragonite,7,91,134,95,100,100,80
Mewtwo,7,106,110,90,154,90,130
Mewtwo-Mega-X,7,106,190,100,154,100,130
Mewtwo-Mega-Y,7,106,150,70,194,120,140
Mew,7,100,100,100,100,100,100
Chikorita,7,45,49,65,49,65,45
Bayleef,7,60,62,80,63,80,60
Meganium,7,80,82,100,83,100,80
Cyndaquil,7,39,52,43,60,50,65
Quilava,7,58,64,58,80,65,80
Typhlosion,7,78,84,78,109,85,100
Totodile,7,50,65,64,44,48,43
Croconaw,7,65,80,80,59,63,58
Feraligatr,7,85,105,100,79,83,78
Sentret,7,35,46,34,35,45,20
Furret,7,85,76,64,45,55,90
Hoothoot,7,60,30,30,36,56,50
Noctowl,7,100,50,50,86,96,70
Ledyba,7,40,20,30,40,80,55
Ledian,7,55,35,50,55,110,85
Spinarak,7,40,60,40,40,40,30
Ariados,7,70,90,70,60,70,40
Crobat,7,85,90,80,70,80,130
Chinchou,7,75,38,38,56,56,67
Lanturn,7,125,58,58,76,76,67
Pichu,7,20,40,15,35,35,60
Cleffa,7,50,25,28,45,55,15
Igglybuff,7,90,30,15,40,20,15
Togepi,7,35,20,65,40,65,20
Togetic,7,55,40,85,80,105,40
Natu,7,40,50,45,70,45,70
Xatu,7,65,75,70,95,70,95
Mareep,7,55,40,40,65,45,35
Flaaffy,7,70,55,55,80,60,45
Ampharos,7,90,75,85,115,90,55
Ampharos-Mega,7,90,95,105,165,110,45
Bellossom,7,75,80,95,90,100,50
Marill,7,70,20,50,20,50,40
Azumarill,7,100,50,80,60,80,50
Sudowoodo,7,70,100,115,30,65,30
Politoed,7,90,75,75,90,100,70
Hoppip,7,35,35,40,35,55,50
Skiploom,7,55,45,50,45,65,80
Jumpluff,7,75,55,70,55,95,110
Aipom,7,55,70,55,40,55,85
Sunkern,7,30,30,30,30,30,30
Sunflora,7,75,75,55,105,85,30
Yanma,7,65,65,45,75,45,95
Wooper,7,55,45,45,25,25,15
Quagsire,7,95,85,85,65,65,35
Espeon,7,65,65,60,130,95,110
Umbreon,7,95,65,110,60,130,65
Murkrow,7,60,85,42,85,42,91
Slowking,7,95,75,80,100,110,30
Misdreavus,7,60,60,60,85,85,85
Unown,7,48,72,48,72,48,48
Wobbuffet,7,190,33,58,33,58,33
