Name,Gen,HP,Attack,Defense,Sp_attack,Sp_defense,Speed
Bulbasaur,3,45,49,49,65,65,45
Ivysaur,3,60,62,63,80,80,60
Venusaur,3,80,82,83,100,100,80
Charmander,3,39,52,43,60,50,65
Charmeleon,3,58,64,58,80,65,80
Charizard,3,78,84,78,109,85,100
Squirtle,3,44,48,65,50,64,43
Wartortle,3,59,63,80,65,80,58
Blastoise,3,79,83,100,85,105,78
Caterpie,3,45,30,35,20,20,45
Metapod,3,50,20,55,25,25,30
Butterfree,3,60,45,50,80,80,70
Weedle,3,40,35,30,20,20,50
Kakuna,3,45,25,50,25,25,35
Beedrill,3,65,80,40,45,80,75
Pidgey,3,40,45,40,35,35,56
Pidgeotto,3,63,60,55,50,50,71
Pidgeot,3,83,80,75,70,70,91
Rattata,3,30,56,35,25,35,72
Raticate,3,55,81,60,50,70,97
Spearow,3,40,60,30,31,31,70
Fearow,3,65,90,65,61,61,100
Ekans,3,35,60,44,40,54,55
Arbok,3,60,85,69,65,79,80
Pikachu,3,35,55,30,50,40,90
Raichu,3,60,90,55,90,80,100
Sandshrew,3,50,75,85,20,30,40
Sandslash,3,75,100,110,45,55,65
Nidoran-F,3,55,47,52,40,40,41
Nidorina,3,70,62,67,55,55,56
Nidoqueen,3,90,82,87,75,85,76
Nidoran-M,3,46,57,40,40,40,50
Nidorino,3,61,72,57,55,55,65
Nidoking,3,81,92,77,85,75,85
Clefairy,3,70,45,48,60,65,35
Clefable,3,95,70,73,85,90,60
Vulpix,3,38,41,40,50,65,65
Ninetales,3,73,76,75,81,100,100
Jigglypuff,3,115,45,20,45,25,20
Wigglytuff,3,140,70,45,75,50,45
Zubat,3,40,45,35,30,40,55
Golbat,3,75,80,70,65,75,90
Oddish,3,45,50,55,75,65,30
Gloom,3,60,65,70,85,75,40
Vileplume,3,75,80,85,100,90,50
Paras,3,35,70,55,45,55,25
Parasect,3,60,95,80,60,80,30
Venonat,3,60,55,50,40,55,45
Venomoth,3,70,65,60,90,75,90
Diglett,3,10,55,25,35,45,95
Dugtrio,3,35,80,50,50,70,120
Meowth,3,40,45,35,40,40,90
Persian,3,65,70,60,65,65,115
Psyduck,3,50,52,48,65,50,55
Golduck,3,80,82,78,95,80,85
Mankey,3,40,80,35,35,45,70
Primeape,3,65,105,60,60,70,95
Growlithe,3,55,70,45,70,50,60
Arcanine,3,90,110,80,100,80,95
Poliwag,3,40,50,40,40,40,90
Poliwhirl,3,65,65,65,50,50,90
Poliwrath,3,90,85,95,70,90,70
Abra,3,25,20,15,105,55,90
Kadabra,3,40,35,30,120,70,105
Alakazam,3,55,50,45,135,85,120
Machop,3,70,80,50,35,35,35
Machoke,3,80,100,70,50,60,45
Machamp,3,90,130,80,65,85,55
Bellsprout,3,50,75,35,70,30,40
Weepinbell,3,65,90,50,85,45,55
Victreebel,3,80,105,65,100,60,70
Tentacool,3,40,40,35,50,100,70
Tentacruel,3,80,70,65,80,120,100
Geodude,3,40,80,100,30,30,20
Graveler,3,55,95,115,45,45,35
Golem,3,80,110,130,55,65,45
Ponyta,3,50,85,55,65,65,90
Rapidash,3,65,100,70,80,80,105
Slowpoke,3,90,65,65,40,40,15
Slowbro,3,95,75,110,100,80,30
Magnemite,3,25,35,70,95,55,45
Magneton,3,50,60,95,120,70,70
Farfetch’d,3,52,65,55,58,62,60
Doduo,3,35,85,45,35,35,75
Dodrio,3,60,110,70,60,60,100
Seel,3,65,45,55,45,70,45
Dewgong,3,90,70,80,70,95,70
Grimer,3,80,80,50,40,50,25
Muk,3,105,105,75,65,100,50
Shellder,3,30,65,100,45,25,40
Cloyster,3,50,95,180,85,45,70
Gastly,3,30,35,30,100,35,80
Haunter,3,45,50,45,115,55,95
Gengar,3,60,65,60,130,75,110
Onix,3,35,45,160,30,45,70
Drowzee,3,60,48,45,43,90,42
Hypno,3,85,73,70,73,115,67
Krabby,3,30,105,90,25,25,50
Kingler,3,55,130,115,50,50,75
Voltorb,3,40,30,50,55,55,100
Electrode,3,60,50,70,80,80,140
Exeggcute,3,60,40,80,60,45,40
Exeggutor,3,95,95,85,125,65,55
Cubone,3,50,50,95,40,50,35
Marowak,3,60,80,110,50,80,45
Hitmonlee,3,50,120,53,35,110,87
Hitmonchan,3,50,105,79,35,110,76
Lickitung,3,90,55,75,60,75,30
Koffing,3,40,65,95,60,45,35
Weezing,3,65,90,120,85,70,60
Rhyhorn,3,80,85,95,30,30,25
Rhydon,3,105,130,120,45,45,40
Chansey,3,250,5,5,35,105,50
Tangela,3,65,55,115,100,40,60
Kangaskhan,3,105,95,80,40,80,90
Horsea,3,30,40,70,70,25,60
Seadra,3,55,65,95,95,45,85
Goldeen,3,45,67,60,35,50,63
Seaking,3,80,92,65,65,80,68
