Name,Gen,HP,Attack,Defense,Sp_attack,Sp_defense,Speed
Bulbasaur,1,45,49,49,65,65,45
Ivysaur,1,60,62,63,80,80,60
Venusaur,1,80,82,83,100,100,80
Charmander,1,39,52,43,50,50,65
Charmeleon,1,58,64,58,65,65,80
Charizard,1,78,84,78,85,85,100
Squirtle,1,44,48,65,50,50,43
Wartortle,1,59,63,80,65,65,58
Blastoise,1,79,83,100,85,85,78
Caterpie,1,45,30,35,20,20,45
Metapod,1,50,20,55,25,25,30
Butterfree,1,60,45,50,80,80,70
Weedle,1,40,35,30,20,20,50
Kakuna,1,45,25,50,25,25,35
Beedrill,1,65,80,40,45,45,75
Pidgey,1,40,45,40,35,35,56
Pidgeotto,1,63,60,55,50,50,71
Pidgeot,1,83,80,75,70,70,91
Rattata,1,30,56,35,25,25,72
Raticate,1,55,81,60,50,50,97
Spearow,1,40,60,30,31,31,70
Fearow,1,65,90,65,61,61,100
Ekans,1,35,60,44,40,40,55
Arbok,1,60,85,69,65,65,80
Pikachu,1,35,55,30,50,50,90
Raichu,1,60,90,55,90,90,100
Sandshrew,1,50,75,85,30,30,40
Sandslash,1,75,100,110,55,55,65
Nidoran-F,1,55,47,52,40,40,41
Nidorina,1,70,62,67,55,55,56
Nidoqueen,1,90,82,87,75,75,76
Nidoran-M,1,46,57,40,40,40,50
Nidorino,1,61,72,57,55,55,65
Nidoking,1,81,92,77,75,75,85
Clefairy,1,70,45,48,60,60,35
Clefable,1,95,70,73,85,85,60
Vulpix,1,38,41,40,65,65,65
Ninetales,1,73,76,75,100,100,100
Jigglypuff,1,115,45,20,25,25,20
Wigglytuff,1,140,70,45,50,50,45
Zubat,1,40,45,35,40,40,55
Golbat,1,75,80,70,75,75,90
Oddish,1,45,50,55,75,75,30
Gloom,1,60,65,70,85,85,40
Vileplume,1,75,80,85,100,100,50
Paras,1,35,70,55,55,55,25
Parasect,1,60,95,80,80,80,30
Venonat,1,60,55,50,40,40,45
Venomoth,1,70,65,60,90,90,90
Diglett,1,10,55,25,45,45,95
Dugtrio,1,35,80,50,70,70,120
Meowth,1,40,45,35,40,40,90
Persian,1,65,70,60,65,65,115
Psyduck,1,50,52,48,50,50,55
Golduck,1,80,82,78,80,80,85
Mankey,1,40,80,35,35,35,70
Primeape,1,65,105,60,60,60,95
Growlithe,1,55,70,45,50,50,60
Arcanine,1,90,110,80,80,80,95
Poliwag,1,40,50,40,40,40,90
Poliwhirl,1,65,65,65,50,50,90
Poliwrath,1,90,85,95,70,70,70
Abra,1,25,20,15,105,105,90
Kadabra,1,40,35,30,120,120,105
Alakazam,1,55,50,45,135,135,120
Machop,1,70,80,50,35,35,35
Machoke,1,80,100,70,50,50,45
Machamp,1,90,130,80,65,65,55
Bellsprout,1,50,75,35,70,70,40
Weepinbell,1,65,90,50,85,85,55
Victreebel,1,80,105,65,100,100,70
Tentacool,1,40,40,35,100,100,70
Tentacruel,1,80,70,65,120,120,100
Geodude,1,40,80,100,30,30,20
Graveler,1,55,95,115,45,45,35
Golem,1,80,110,130,55,55,45
Ponyta,1,50,85,55,65,65,90
Rapidash,1,65,100,70,80,80,105
Slowpoke,1,90,65,65,40,40,15
Slowbro,1,95,75,110,80,80,30
Magnemite,1,25,35,70,95,95,45
Magneton,1,50,60,95,120,120,70
Farfetch’d,1,52,65,55,58,58,60
Doduo,1,35,85,45,35,35,75
Dodrio,1,60,110,70,60,60,100
Seel,1,65,45,55,70,70,45
Dewgong,1,90,70,80,95,95,70
Grimer,1,80,80,50,40,40,25
Muk,1,105,105,75,65,65,50
Shellder,1,30,65,100,45,45,40
Cloyster,1,50,95,180,85,85,70
Gastly,1,30,35,30,100,100,80
Haunter,1,45,50,45,115,115,95
Gengar,1,60,65,60,130,130,110
Onix,1,35,45,160,30,30,70
Drowzee,1,60,48,45,90,90,42
Hypno,1,85,73,70,115,115,67
Krabby,1,30,105,90,25,25,50
Kingler,1,55,130,115,50,50,75
Voltorb,1,40,30,50,55,55,100
Electrode,1,60,50,70,80,80,140
Exeggcute,1,60,40,80,60,60,40
Exeggutor,1,95,95,85,125,125,55
Cubone,1,50,50,95,40,40,35
Marowak,1,60,80,110,50,50,45
Hitmonlee,1,50,120,53,35,35,87
Hitmonchan,1,50,105,79,35,35,76
Lickitung,1,90,55,75,60,60,30
Koffing,1,40,65,95,60,60,35
Weezing,1,65,90,120,85,85,60
Rhyhorn,1,80,85,95,30,30,25
Rhydon,1,105,130,120,45,45,40
Chansey,1,250,5,5,105,105,50
Tangela,1,65,55,115,100,100,60
Kangaskhan,1,105,95,80,40,40,90
Horsea,1,30,40,70,70,70,60
Seadra,1,55,65,95,95,95,85
Goldeen,1,45,67,60,50,50,63
Seaking,1,80,92,65,80,80,68
Staryu,1,30,45,55,70,70,85
Starmie,1,60,75,85,100,100,115
Mr. Mime,1,40,45,65,100,100,90
Scyther,1,70,110,80,55,55,105
Jynx,1,65,50,35,95,95,95
Electabuzz,1,65,83,57,85,85,105
Magmar,1,65,95,57,85,85,93
Pinsir,1,65,125,100,55,55,85
Tauros,1,75,100,95,70,70,110
Magikarp,1,20,10,55,20,20,80
Gyarados,1,95,125,79,100,100,81
Lapras,1,130,85,80,95,95,60
Ditto,1,48,48,48,48,48,48
Eevee,1,55,55,50,65,65,55
Vaporeon,1,130,65,60,110,110,65
Jolteon,1,65,65,60,110,110,130
Flareon,1,65,130,60,110,110,65
Porygon,1,65,60,70,75,75,40
Omanyte,1,35,40,100,90,90,35
Omastar,1,70,60,125,115,115,55
Kabuto,1,30,80,90,45,45,55
Kabutops,1,60,115,105,70,70,80
Aerodactyl,1,80,105,65,60,60,130
Snorlax,1,160,110,65,65,65,30
Articuno,1,90,85,100,125,125,85
Zapdos,1,90,90,85,125,125,100
Moltres,1,90,100,90,125,125,90
Dratini,1,41,64,45,50,50,50
Dragonair,1,61,84,65,70,70,70
Dragonite,1,91,134,95,100,100,80
Mewtwo,1,106,110,90,154,154,130
Mew,1,100,100,100,100,100,100
