Name,Gen,TypeOne,TypeTwo
Bulbasaur,9,Grass,Poison
Ivysaur,9,Grass,Poison
Venusaur,9,Grass,Poison
Venusaur-Mega,9,Grass,Poison
Charmander,9,Fire,
Charmeleon,9,Fire,
Charizard,9,Fire,Flying
Charizard-Mega-X,9,Fire,Dragon
Charizard-Mega-Y,9,Fire,Flying
Squirtle,9,Water,
Wartortle,9,Water,
Blastoise,9,Water,
Blastoise-Mega,9,Water,
Caterpie,9,Bug,
Metapod,9,Bug,
Butterfree,9,Bug,Flying
Weedle,9,Bug,Poison
Kakuna,9,Bug,Poison
Beedrill,9,Bug,Poison
Beedrill-Mega,9,Bug,Poison
Pidgey,9,Normal,Flying
Pidgeotto,9,Normal,Flying
Pidgeot,9,Normal,Flying
Pidgeot-Mega,9,Normal,Flying
Rattata,9,Normal,
Rattata-Alola,9,Dark,Normal
Raticate,9,Normal,
Raticate-Alola,9,Dark,Normal
Spearow,9,Normal,Flying
Fearow,9,Normal,Flying
Ekans,9,Poison,
Arbok,9,Poison,
Pikachu,9,Electric,
Pikachu-Alola,9,Electric,
Raichu,9,Electric,
Raichu-Alola,9,Electric,Psychic
Sandshrew,9,Ground,
Sandshrew-Alola,9,Ice,Steel
Sandslash,9,Ground,
Sandslash-Alola,9,Ice,Steel
Nidoran-F,9,Poison,
Nidorina,9,Poison,
Nidoqueen,9,Poison,Ground
Nidoran-M,9,Poison,
Nidorino,9,Poison,
Nidoking,9,Poison,Ground
Clefairy,9,Fairy,
Clefable,9,Fairy,
Vulpix,9,Fire,
Vulpix-Alola,9,Ice,
Ninetales,9,Fire,
Ninetales-Alola,9,Ice,Fairy
Jigglypuff,9,Normal,Fairy
Wigglytuff,9,Normal,Fairy
Zubat,9,Poison,Flying
Golbat,9,Poison,Flying
Oddish,9,Grass,Poison
Gloom,9,Grass,Poison
Vileplume,9,Grass,Poison
Paras,9,Bug,Grass
Parasect,9,Bug,Grass
Venonat,9,Bug,Poison
Venomoth,9,Bug,Poison
Diglett,9,Ground,
Diglett-Alola,9,Ground,Steel
Dugtrio,9,Ground,
Dugtrio-Alola,9,Ground,Steel
Meowth,9,Normal,
Meowth-Alola,9,Dark,
Meowth-Galar,9,Steel,
Persian,9,Normal,
Persian-Alola,9,Dark,
Psyduck,9,Water,
Golduck,9,Water,
Mankey,9,Fighting,
Primeape,9,Fighting,
Growlithe,9,Fire,
Growlithe-Hisui,9,Fire,Rock
Arcanine,9,Fire,
Arcanine-Hisui,9,Fire,Rock
Poliwag,9,Water,
Poliwhirl,9,Water,
Poliwrath,9,Water,Fighting
Abra,9,Psychic,
Kadabra,9,Psychic,
Alakazam,9,Psychic,
Alakazam-Mega,9,Psychic,
Machop,9,Fighting,
Machoke,9,Fighting,
Machamp,9,Fighting,
