Name,Gen,TypeOne,TypeTwo
Bulbasaur,2,Grass,Poison
Ivysaur,2,Grass,Poison
Venusaur,2,Grass,Poison
Charmander,2,Fire,
Charmeleon,2,Fire,
Charizard,2,Fire,Flying
Squirtle,2,Water,
Wartortle,2,Water,
Blastoise,2,Water,
Caterpie,2,Bug,
Metapod,2,Bug,
Butterfree,2,Bug,Flying
Weedle,2,Bug,Poison
Kakuna,2,Bug,Poison
Beedrill,2,Bug,Poison
Pidgey,2,Normal,Flying
Pidgeotto,2,Normal,Flying
Pidgeot,2,Normal,Flying
Rattata,2,Normal,
Raticate,2,Normal,
Spearow,2,Normal,Flying
Fearow,2,Normal,Flying
Ekans,2,Poison,
Arbok,2,Poison,
Pikachu,2,Electric,
Raichu,2,Electric,
Sandshrew,2,Ground,
Sandslash,2,Ground,
Nidoran-F,2,Poison,
Nidorina,2,Poison,
Nidoqueen,2,Poison,Ground
Nidoran-M,2,Poison,
Nidorino,2,Poison,
Nidoking,2,Poison,Ground
Clefairy,2,Normal,
Clefable,2,Normal,
Vulpix,2,Fire,
Ninetales,2,Fire,
Jigglypuff,2,Normal,
Wigglytuff,2,Normal,
Zubat,2,Poison,Flying
Golbat,2,Poison,Flying
Oddish,2,Grass,Poison
Gloom,2,Grass,Poison
Vileplume,2,Grass,Poison
Paras,2,Bug,Grass
Parasect,2,Bug,Grass
Venonat,2,Bug,Poison
Venomoth,2,Bug,Poison
Diglett,2,Ground,
Dugtrio,2,Ground,
Meowth,2,Normal,
Persian,2,Normal,
Psyduck,2,Water,
Golduck,2,Water,
Mankey,2,Fighting,
Primeape,2,Fighting,
Growlithe,2,Fire,
Arcanine,2,Fire,
Poliwag,2,Water,
Poliwhirl,2,Water,
Poliwrath,2,Water,Fighting
Abra,2,Psychic,
Kadabra,2,Psychic,
Alakazam,2,Psychic,
Machop,2,Fighting,
Machoke,2,Fighting,
Machamp,2,Fighting,
Bellsprout,2,Grass,Poison
Weepinbell,2,Grass,Poison
Victreebel,2,Grass,Poison
Tentacool,2,Water,Poison
Tentacruel,2,Water,Poison
Geodude,2,Rock,Ground
Graveler,2,Rock,Ground
Golem,2,Rock,Ground
Ponyta,2,Fire,
Rapidash,2,Fire,
Slowpoke,2,Water,Psychic
Slowbro,2,Water,Psychic
Magnemite,2,Electric,Steel
Magneton,2,Electric,Steel
Farfetch’d,2,Normal,Flying
Doduo,2,Normal,Flying
Dodrio,2,Normal,Flying
Seel,2,Water,
Dewgong,2,Water,Ice
Grimer,2,Poison,
Muk,2,Poison,
Shellder,2,Water,
Cloyster,2,Water,Ice
Gastly,2,Ghost,Poison
Haunter,2,Ghost,Poison
Gengar,2,Ghost,Poison
Onix,2,Rock,Ground
Drowzee,2,Psychic,
Hypno,2,Psychic,
Krabby,2,Water,
Kingler,2,Water,
Voltorb,2,Electric,
Electrode,2,Electric,
Exeggcute,2,Grass,Psychic
Exeggutor,2,Grass,Psychic
Cubone,2,Ground,
Marowak,2,Ground,
Hitmonlee,2,Fighting,
Hitmonchan,2,Fighting,
Lickitung,2,Normal,
Koffing,2,Poison,
Weezing,2,Poison,
Rhyhorn,2,Ground,Rock
Rhydon,2,Ground,Rock
Chansey,2,Normal,
Tangela,2,Grass,
Kangaskhan,2,Normal,
Horsea,2,Water,
Seadra,2,Water,
Goldeen,2,Water,
Seaking,2,Water,
Staryu,2,Water,
Starmie,2,Water,Psychic
Mr. Mime,2,Psychic,
