Name,Gen,HP,Attack,Defense,Sp_attack,Sp_defense,Speed
Bulbasaur,2,45,49,49,65,65,45
Ivysaur,2,60,62,63,80,80,60
Venusaur,2,80,82,83,100,100,80
Charmander,2,39,52,43,60,50,65
Charmeleon,2,58,64,58,80,65,80
Charizard,2,78,84,78,109,85,100
Squirtle,2,44,48,65,50,64,43
Wartortle,2,59,63,80,65,80,58
Blastoise,2,79,83,100,85,105,78
Caterpie,2,45,30,35,20,20,45
Metapod,2,50,20,55,25,25,30
Butterfree,2,60,45,50,80,80,70
Weedle,2,40,35,30,20,20,50
Kakuna,2,45,25,50,25,25,35
Beedrill,2,65,80,40,45,80,75
Pidgey,2,40,45,40,35,35,56
Pidgeotto,2,63,60,55,50,50,71
Pidgeot,2,83,80,75,70,70,91
Rattata,2,30,56,35,25,35,72
Raticate,2,55,81,60,50,70,97
Spearow,2,40,60,30,31,31,70
Fearow,2,65,90,65,61,61,100
Ekans,2,35,60,44,40,54,55
Arbok,2,60,85,69,65,79,80
Pikachu,2,35,55,30,50,40,90
Raichu,2,60,90,55,90,80,100
Sandshrew,2,50,75,85,20,30,40
Sandslash,2,75,100,110,45,55,65
Nidoran-F,2,55,47,52,40,40,41
Nidorina,2,70,62,67,55,55,56
Nidoqueen,2,90,82,87,75,85,76
Nidoran-M,2,46,57,40,40,40,50
Nidorino,2,61,72,57,55,55,65
Nidoking,2,81,92,77,85,75,85
Clefairy,2,70,45,48,60,65,35
Clefable,2,95,70,73,85,90,60
Vulpix,2,38,41,40,50,65,65
Ninetales,2,73,76,75,81,100,100
Jigglypuff,2,115,45,20,45,25,20
Wigglytuff,2,140,70,45,75,50,45
Zubat,2,40,45,35,30,40,55
Golbat,2,75,80,70,65,75,90
Oddish,2,45,50,55,75,65,30
Gloom,2,60,65,70,85,75,40
Vileplume,2,75,80,85,100,90,50
Paras,2,35,70,55,45,55,25
Parasect,2,60,95,80,60,80,30
Venonat,2,60,55,50,40,55,45
Venomoth,2,70,65,60,90,75,90
Diglett,2,10,55,25,35,45,95
Dugtrio,2,35,80,50,50,70,120
Meowth,2,40,45,35,40,40,90
Persian,2,65,70,60,65,65,115
Psyduck,2,50,52,48,65,50,55
Golduck,2,80,82,78,95,80,85
Mankey,2,40,80,35,35,45,70
Primeape,2,65,105,60,60,70,95
Growlithe,2,55,70,45,70,50,60
Arcanine,2,90,110,80,100,80,95
Poliwag,2,40,50,40,40,40,90
Poliwhirl,2,65,65,65,50,50,90
Poliwrath,2,90,85,95,70,90,70
Abra,2,25,20,15,105,55,90
Kadabra,2,40,35,30,120,70,105
Alakazam,2,55,50,45,135,85,120
Machop,2,70,80,50,35,35,35
Machoke,2,80,100,70,50,60,45
Machamp,2,90,130,80,65,85,55
Bellsprout,2,50,75,35,70,30,40
Weepinbell,2,65,90,50,85,45,55
Victreebel,2,80,105,65,100,60,70
Tentacool,2,40,40,35,50,100,70
Tentacruel,2,80,70,65,80,120,100
Geodude,2,40,80,100,30,30,20
Graveler,2,55,95,115,45,45,35
Golem,2,80,110,130,55,65,45
Ponyta,2,50,85,55,65,65,90
Rapidash,2,65,100,70,80,80,105
Slowpoke,2,90,65,65,40,40,15
Slowbro,2,95,75,110,100,80,30
Magnemite,2,25,35,70,95,55,45
Magneton,2,50,60,95,120,70,70
Farfetch’d,2,52,65,55,58,62,60
Doduo,2,35,85,45,35,35,75
Dodrio,2,60,110,70,60,60,100
Seel,2,65,45,55,45,70,45
Dewgong,2,90,70,80,70,95,70
Grimer,2,80,80,50,40,50,25
Muk,2,105,105,75,65,100,50
Shellder,2,30,65,100,45,25,40
Cloyster,2,50,95,180,85,45,70
Gastly,2,30,35,30,100,35,80
Haunter,2,45,50,45,115,55,95
Gengar,2,60,65,60,130,75,110
Onix,2,35,45,160,30,45,70
Drowzee,2,60,48,45,43,90,42
Hypno,2,85,73,70,73,115,67
Krabby,2,30,105,90,25,25,50
Kingler,2,55,130,115,50,50,75
Voltorb,2,40,30,50,55,55,100
Electrode,2,60,50,70,80,80,140
Exeggcute,2,60,40,80,60,45,40
Exeggutor,2,95,95,85,125,65,55
Cubone,2,50,50,95,40,50,35
Marowak,2,60,80,110,50,80,45
Hitmonlee,2,50,120,53,35,110,87
Hitmonchan,2,50,105,79,35,110,76
Lickitung,2,90,55,75,60,75,30
Koffing,2,40,65,95,60,45,35
Weezing,2,65,90,120,85,70,60
Rhyhorn,2,80,85,95,30,30,25
Rhydon,2,105,130,120,45,45,40
Chansey,2,250,5,5,35,105,50
Tangela,2,65,55,115,100,40,60
Kangaskhan,2,105,95,80,40,80,90
Horsea,2,30,40,70,70,25,60
Seadra,2,55,65,95,95,45,85
Goldeen,2,45,67,60,35,50,63
Seaking,2,80,92,65,65,80,68
Staryu,2,30,45,55,70,55,85
Starmie,2,60,75,85,100,85,115
Mr. Mime,2,40,45,65,100,120,90
Scyther,2,70,110,80,55,80,105
Jynx,2,65,50,35,115,95,95
Electabuzz,2,65,83,57,95,85,105
Magmar,2,65,95,57,100,85,93
Pinsir,2,65,125,100,55,70,85
Tauros,2,75,100,95,40,70,110
Magikarp,2,20,10,55,15,20,80
Gyarados,2,95,125,79,60,100,81
Lapras,2,130,85,80,85,95,60
Ditto,2,48,48,48,48,48,48
Eevee,2,55,55,50,45,65,55
Vaporeon,2,130,65,60,110,95,65
Jolteon,2,65,65,60,110,95,130
Flareon,2,65,130,60,95,110,65
Porygon,2,65,60,70,85,75,40
Omanyte,2,35,40,100,90,55,35
Omastar,2,70,60,125,115,70,55
Kabuto,2,30,80,90,55,45,55
Kabutops,2,60,115,105,65,70,80
Aerodactyl,2,80,105,65,60,75,130
Snorlax,2,160,110,65,65,110,30
Articuno,2,90,85,100,95,125,85
Zapdos,2,90,90,85,125,90,100
Moltres,2,90,100,90,125,85,90
Dratini,2,41,64,45,50,50,50
Dragonair,2,61,84,65,70,70,70
Dragonite,2,91,134,95,100,100,80
Mewtwo,2,106,110,90,154,90,130
Mew,2,100,100,100,100,100,100
Chikorita,2,45,49,65,49,65,45
Bayleef,2,60,62,80,63,80,60
Meganium,2,80,82,100,83,100,80
Cyndaquil,2,39,52,43,60,50,65
Quilava,2,58,64,58,80,65,80
Typhlosion,2,78,84,78,109,85,100
Totodile,2,50,65,64,44,48,43
Croconaw,2,65,80,80,59,63,58
Feraligatr,2,85,105,100,79,83,78
Sentret,2,35,46,34,35,45,20
Furret,2,85,76,64,45,55,90
Hoothoot,2,60,30,30,36,56,50
Noctowl,2,100,50,50,76,96,70
Ledyba,2,40,20,30,40,80,55
Ledian,2,55,35,50,55,110,85
Spinarak,2,40,60,40,40,40,30
Ariados,2,70,90,70,60,60,40
Crobat,2,85,90,80,70,80,130
Chinchou,2,75,38,38,56,56,67
Lanturn,2,125,58,58,76,76,67
Pichu,2,20,40,15,35,35,60
Cleffa,2,50,25,28,45,55,15
Igglybuff,2,90,30,15,40,20,15
Togepi,2,35,20,65,40,65,20
Togetic,2,55,40,85,80,105,40
Natu,2,40,50,45,70,45,70
Xatu,2,65,75,70,95,70,95
Mareep,2,55,40,40,65,45,35
Flaaffy,2,70,55,55,80,60,45
Ampharos,2,90,75,75,115,90,55
Bellossom,2,75,80,85,90,100,50
Marill,2,70,20,50,20,50,40
Azumarill,2,100,50,80,50,80,50
Sudowoodo,2,70,100,115,30,65,30
Politoed,2,90,75,75,90,100,70
Hoppip,2,35,35,40,35,55,50
Skiploom,2,55,45,50,45,65,80
Jumpluff,2,75,55,70,55,85,110
Aipom,2,55,70,55,40,55,85
Sunkern,2,30,30,30,30,30,30
Sunflora,2,75,75,55,105,85,30
Yanma,2,65,65,45,75,45,95
Wooper,2,55,45,45,25,25,15
Quagsire,2,95,85,85,65,65,35
Espeon,2,65,65,60,130,95,110
Umbreon,2,95,65,110,60,130,65
Murkrow,2,60,85,42,85,42,91
Slowking,2,95,75,80,100,110,30
Misdreavus,2,60,60,60,85,85,85
Unown,2,48,72,48,72,48,48
Wobbuffet,2,190,33,58,33,58,33
Girafarig,2,70,80,65,90,65,85
Pineco,2,50,65,90,35,35,15
Forretress,2,75,90,140,60,60,40
Dunsparce,2,100,70,70,65,65,45
Gligar,2,65,75,105,35,65,85
Steelix,2,75,85,200,55,65,30
Snubbull,2,60,80,50,40,40,30
Granbull,2,90,120,75,60,60,45
Qwilfish,2,65,95,75,55,55,85
Scizor,2,70,130,100,55,80,65
Shuckle,2,20,10,230,10,230,5
Heracross,2,80,125,75,40,95,85
Sneasel,2,55,95,55,35,75,115
Teddiursa,2,60,80,50,50,50,40
Ursaring,2,90,130,75,75,75,55
Slugma,2,40,40,40,70,40,20
Magcargo,2,50,50,120,80,80,30
Swinub,2,50,50,40,30,30,50
Piloswine,2,100,100,80,60,60,50
Corsola,2,55,55,85,65,85,35
Remoraid,2,35,65,35,65,35,65
Octillery,2,75,105,75,105,75,45
Delibird,2,45,55,45,65,45,75
Mantine,2,65,40,70,80,140,70
Skarmory,2,65,80,140,40,70,70
Houndour,2,45,60,30,80,50,65
Houndoom,2,75,90,50,110,80,95
Kingdra,2,75,95,95,95,95,85
Phanpy,2,90,60,60,40,40,40
Donphan,2,90,120,120,60,60,50
Porygon2,2,85,80,90,105,95,60
Stantler,2,73,95,62,85,65,85
Smeargle,2,55,20,35,20,45,75
Tyrogue,2,35,35,35,35,35,35
Hitmontop,2,50,95,95,35,110,70
Smoochum,2,45,30,15,85,65,65
Elekid,2,45,63,37,65,55,95
Magby,2,45,75,37,70,55,83
Miltank,2,95,80,105,40,70,100
Blissey,2,255,10,10,75,135,55
Raikou,2,90,85,75,115,100,115
Entei,2,115,115,85,90,75,100
Suicune,2,100,75,115,90,115,85
Larvitar,2,50,64,50,45,50,41
Pupitar,2,70,84,70,65,70,51
Tyranitar,2,100,134,110,95,100,61
Lugia,2,106,90,130,90,154,110
Ho-Oh,2,106,130,90,110,154,90
Celebi,2,100,100,100,100,100,100
