Name,Gen,HP,Attack,Defense,Sp_attack,Sp_defense,Speed
Bulbasaur,4,45,49,49,65,65,45
Ivysaur,4,60,62,63,80,80,60
Venusaur,4,80,82,83,100,100,80
Charmander,4,39,52,43,60,50,65
Charmeleon,4,58,64,58,80,65,80
Charizard,4,78,84,78,109,85,100
Squirtle,4,44,48,65,50,64,43
Wartortle,4,59,63,80,65,80,58
Blastoise,4,79,83,100,85,105,78
Caterpie,4,45,30,35,20,20,45
Metapod,4,50,20,55,25,25,30
Butterfree,4,60,45,50,80,80,70
Weedle,4,40,35,30,20,20,50
Kakuna,4,45,25,50,25,25,35
Beedrill,4,65,80,40,45,80,75
Pidgey,4,40,45,40,35,35,56
Pidgeotto,4,63,60,55,50,50,71
Pidgeot,4,83,80,75,70,70,91
Rattata,4,30,56,35,25,35,72
Raticate,4,55,81,60,50,70,97
Spearow,4,40,60,30,31,31,70
Fearow,4,65,90,65,61,61,100
Ekans,4,35,60,44,40,54,55
Arbok,4,60,85,69,65,79,80
Pikachu,4,35,55,30,50,40,90
Raichu,4,60,90,55,90,80,100
Sandshrew,4,50,75,85,20,30,40
Sandslash,4,75,100,110,45,55,65
Nidoran-F,4,55,47,52,40,40,41
Nidorina,4,70,62,67,55,55,56
Nidoqueen,4,90,82,87,75,85,76
Nidoran-M,4,46,57,40,40,40,50
Nidorino,4,61,72,57,55,55,65
Nidoking,4,81,92,77,85,75,85
Clefairy,4,70,45,48,60,65,35
Clefable,4,95,70,73,85,90,60
Vulpix,4,38,41,40,50,65,65
Ninetales,4,73,76,75,81,100,100
Jigglypuff,4,115,45,20,45,25,20
Wigglytuff,4,140,70,45,75,50,45
Zubat,4,40,45,35,30,40,55
Golbat,4,75,80,70,65,75,90
Oddish,4,45,50,55,75,65,30
Gloom,4,60,65,70,85,75,40
Vileplume,4,75,80,85,100,90,50
Paras,4,35,70,55,45,55,25
Parasect,4,60,95,80,60,80,30
Venonat,4,60,55,50,40,55,45
Venomoth,4,70,65,60,90,75,90
Diglett,4,10,55,25,35,45,95
Dugtrio,4,35,80,50,50,70,120
Meowth,4,40,45,35,40,40,90
Persian,4,65,70,60,65,65,115
Psyduck,4,50,52,48,65,50,55
Golduck,4,80,82,78,95,80,85
Mankey,4,40,80,35,35,45,70
Primeape,4,65,105,60,60,70,95
Growlithe,4,55,70,45,70,50,60
Arcanine,4,90,110,80,100,80,95
Poliwag,4,40,50,40,40,40,90
Poliwhirl,4,65,65,65,50,50,90
Poliwrath,4,90,85,95,70,90,70
Abra,4,25,20,15,105,55,90
Kadabra,4,40,35,30,120,70,105
Alakazam,4,55,50,45,135,85,120
Machop,4,70,80,50,35,35,35
Machoke,4,80,100,70,50,60,45
Machamp,4,90,130,80,65,85,55
Bellsprout,4,50,75,35,70,30,40
Weepinbell,4,65,90,50,85,45,55
Victreebel,4,80,105,65,100,60,70
Tentacool,4,40,40,35,50,100,70
Tentacruel,4,80,70,65,80,120,100
Geodude,4,40,80,100,30,30,20
Graveler,4,55,95,115,45,45,35
Golem,4,80,110,130,55,65,45
Ponyta,4,50,85,55,65,65,90
Rapidash,4,65,100,70,80,80,105
Slowpoke,4,90,65,65,40,40,15
Slowbro,4,95,75,110,100,80,30
Magnemite,4,25,35,70,95,55,45
Magneton,4,50,60,95,120,70,70
Farfetch’d,4,52,65,55,58,62,60
Doduo,4,35,85,45,35,35,75
Dodrio,4,60,110,70,60,60,100
Seel,4,65,45,55,45,70,45
Dewgong,4,90,70,80,70,95,70
Grimer,4,80,80,50,40,50,25
Muk,4,105,105,75,65,100,50
Shellder,4,30,65,100,45,25,40
Cloyster,4,50,95,180,85,45,70
Gastly,4,30,35,30,100,35,80
Haunter,4,45,50,45,115,55,95
Gengar,4,60,65,60,130,75,110
Onix,4,35,45,160,30,45,70
Drowzee,4,60,48,45,43,90,42
Hypno,4,85,73,70,73,115,67
Krabby,4,30,105,90,25,25,50
