Name,Gen,TypeOne,TypeTwo
Bulbasaur,4,Grass,Poison
Ivysaur,4,Grass,Poison
Venusaur,4,Grass,Poison
Charmander,4,Fire,
Charmeleon,4,Fire,
Charizard,4,Fire,Flying
Squirtle,4,Water,
Wartortle,4,Water,
Blastoise,4,Water,
Caterpie,4,Bug,
Metapod,4,Bug,
Butterfree,4,Bug,Flying
Weedle,4,Bug,Poison
Kakuna,4,Bug,Poison
Beedrill,4,Bug,Poison
Pidgey,4,Normal,Flying
Pidgeotto,4,Normal,Flying
Pidgeot,4,Normal,Flying
Rattata,4,Normal,
Raticate,4,Normal,
Spearow,4,Normal,Flying
Fearow,4,Normal,Flying
Ekans,4,Poison,
Arbok,4,Poison,
Pikachu,4,Electric,
Raichu,4,Electric,
Sandshrew,4,Ground,
Sandslash,4,Ground,
Nidoran-F,4,Poison,
Nidorina,4,Poison,
Nidoqueen,4,Poison,Ground
Nidoran-M,4,Poison,
Nidorino,4,Poison,
Nidoking,4,Poison,Ground
Clefairy,4,Normal,
Clefable,4,Normal,
Vulpix,4,Fire,
Ninetales,4,Fire,
Jigglypuff,4,Normal,
Wigglytuff,4,Normal,
Zubat,4,Poison,Flying
Golbat,4,Poison,Flying
Oddish,4,Grass,Poison
Gloom,4,Grass,Poison
Vileplume,4,Grass,Poison
Paras,4,Bug,Grass
Parasect,4,Bug,Grass
Venonat,4,Bug,Poison
Venomoth,4,Bug,Poison
Diglett,4,Ground,
Dugtrio,4,Ground,
Meowth,4,Normal,
Persian,4,Normal,
Psyduck,4,Water,
Golduck,4,Water,
Mankey,4,Fighting,
Primeape,4,Fighting,
Growlithe,4,Fire,
Arcanine,4,Fire,
Poliwag,4,Water,
Poliwhirl,4,Water,
Poliwrath,4,Water,Fighting
Abra,4,Psychic,
Kadabra,4,Psychic,
Alakazam,4,Psychic,
Machop,4,Fighting,
Machoke,4,Fighting,
Machamp,4,Fighting,
Bellsprout,4,Grass,Poison
Weepinbell,4,Grass,Poison
Victreebel,4,Grass,Poison
Tentacool,4,Water,Poison
Tentacruel,4,Water,Poison
Geodude,4,Rock,Ground
Graveler,4,Rock,Ground
Golem,4,Rock,Ground
Ponyta,4,Fire,
Rapidash,4,Fire,
Slowpoke,4,Water,Psychic
Slowbro,4,Water,Psychic
Magnemite,4,Electric,Steel
Magneton,4,Electric,Steel
Farfetch’d,4,Normal,Flying
Doduo,4,Normal,Flying
Dodrio,4,Normal,Flying
Seel,4,Water,
Dewgong,4,Water,Ice
Grimer,4,Poison,
Muk,4,Poison,
Shellder,4,Water,
Cloyster,4,Water,Ice
Gastly,4,Ghost,Poison
Haunter,4,Ghost,Poison
Gengar,4,Ghost,Poison
Onix,4,Rock,Ground
Drowzee,4,Psychic,
Hypno,4,Psychic,
Krabby,4,Water,
Kingler,4,Water,
Voltorb,4,Electric,
Electrode,4,Electric,
Exeggcute,4,Grass,Psychic
Exeggutor,4,Grass,Psychic
Cubone,4,Ground,
Marowak,4,Ground,
Hitmonlee,4,Fighting,
Hitmonchan,4,Fighting,
Lickitung,4,Normal,
Koffing,4,Poison,
Weezing,4,Poison,
Rhyhorn,4,Ground,Rock
Rhydon,4,Ground,Rock
Chansey,4,Normal,
Tangela,4,Grass,
Kangaskhan,4,Normal,
Horsea,4,Water,
Seadra,4,Water,
Goldeen,4,Water,
Seaking,4,Water,
Staryu,4,Water,
Starmie,4,Water,Psychic
Mr. Mime,4,Psychic,
Scyther,4,Bug,Flying
Jynx,4,Ice,Psychic
Electabuzz,4,Electric,
Magmar,4,Fire,
Pinsir,4,Bug,
Tauros,4,Normal,
Magikarp,4,Water,
Gyarados,4,Water,Flying
Lapras,4,Water,Ice
Ditto,4,Normal,
Eevee,4,Normal,
Vaporeon,4,Water,
Jolteon,4,Electric,
Flareon,4,Fire,
Porygon,4,Normal,
Omanyte,4,Rock,Water
Omastar,4,Rock,Water
Kabuto,4,Rock,Water
Kabutops,4,Rock,Water
Aerodactyl,4,Rock,Flying
Snorlax,4,Normal,
Articuno,4,Ice,Flying
Zapdos,4,Electric,Flying
Moltres,4,Fire,Flying
Dratini,4,Dragon,
Dragonair,4,Dragon,
Dragonite,4,Dragon,Flying
Mewtwo,4,Psychic,
Mew,4,Psychic,
Chikorita,4,Grass,
Bayleef,4,Grass,
Meganium,4,Grass,
Cyndaquil,4,Fire,
Quilava,4,Fire,
Typhlosion,4,Fire,
Totodile,4,Water,
Croconaw,4,Water,
Feraligatr,4,Water,
Sentret,4,Normal,
Furret,4,Normal,
Hoothoot,4,Normal,Flying
Noctowl,4,Normal,Flying
Ledyba,4,Bug,Flying
Ledian,4,Bug,Flying
Spinarak,4,Bug,Poison
Ariados,4,Bug,Poison
Crobat,4,Poison,Flying
Chinchou,4,Water,Electric
Lanturn,4,Water,Electric
Pichu,4,Electric,
Cleffa,4,Normal,
Igglybuff,4,Normal,Fairy
Togepi,4,Normal,
Togetic,4,Normal,Flying
Natu,4,Psychic,Flying
Xatu,4,Psychic,Flying
Mareep,4,Electric,
Flaaffy,4,Electric,
Ampharos,4,Electric,
Bellossom,4,Grass,
Marill,4,Water,
Azumarill,4,Water,
Sudowoodo,4,Rock,
Politoed,4,Water,
Hoppip,4,Grass,Flying
Skiploom,4,Grass,Flying
Jumpluff,4,Grass,Flying
Aipom,4,Normal,
Sunkern,4,Grass,
Sunflora,4,Grass,
Yanma,4,Bug,Flying
Wooper,4,Water,Ground
Quagsire,4,Water,Ground
Espeon,4,Psychic,
Umbreon,4,Dark,
Murkrow,4,Dark,Flying
Slowking,4,Water,Psychic
Misdreavus,4,Ghost,
Unown,4,Psychic,
Wobbuffet,4,Psychic,
Girafarig,4,Normal,Psychic
Pineco,4,Bug,
Forretress,4,Bug,Steel
Dunsparce,4,Normal,
Gligar,4,Ground,Flying
Steelix,4,Steel,Ground
Snubbull,4,Normal,
Granbull,4,Normal,
Qwilfish,4,Water,Poison
