Name,Gen,TypeOne,TypeTwo
Bulbasaur,3,Grass,Poison
Ivysaur,3,Grass,Poison
Venusaur,3,Grass,Poison
Charmander,3,Fire,
Charmeleon,3,Fire,
Charizard,3,Fire,Flying
Squirtle,3,Water,
Wartortle,3,Water,
Blastoise,3,Water,
Caterpie,3,Bug,
Metapod,3,Bug,
Butterfree,3,Bug,Flying
Weedle,3,Bug,Poison
Kakuna,3,Bug,Poison
Beedrill,3,Bug,Poison
Pidgey,3,Normal,Flying
Pidgeotto,3,Normal,Flying
Pidgeot,3,Normal,Flying
Rattata,3,Normal,
Raticate,3,Normal,
Spearow,3,Normal,Flying
Fearow,3,Normal,Flying
Ekans,3,Poison,
Arbok,3,Poison,
Pikachu,3,Electric,
Raichu,3,Electric,
Sandshrew,3,Ground,
Sandslash,3,Ground,
Nidoran-F,3,Poison,
Nidorina,3,Poison,
Nidoqueen,3,Poison,Ground
Nidoran-M,3,Poison,
Nidorino,3,Poison,
Nidoking,3,Poison,Ground
Clefairy,3,Normal,
Clefable,3,Normal,
Vulpix,3,Fire,
Ninetales,3,Fire,
Jigglypuff,3,Normal,
Wigglytuff,3,Normal,
Zubat,3,Poison,Flying
Golbat,3,Poison,Flying
Oddish,3,Grass,Poison
Gloom,3,Grass,Poison
Vileplume,3,Grass,Poison
Paras,3,Bug,Grass
Parasect,3,Bug,Grass
Venonat,3,Bug,Poison
Venomoth,3,Bug,Poison
Diglett,3,Ground,
Dugtrio,3,Ground,
Meowth,3,Normal,
Persian,3,Normal,
Psyduck,3,Water,
Golduck,3,Water,
Mankey,3,Fighting,
Primeape,3,Fighting,
Growlithe,3,Fire,
Arcanine,3,Fire,
Poliwag,3,Water,
Poliwhirl,3,Water,
Poliwrath,3,Water,Fighting
Abra,3,Psychic,
Kadabra,3,Psychic,
Alakazam,3,Psychic,
Machop,3,Fighting,
Machoke,3,Fighting,
Machamp,3,Fighting,
Bellsprout,3,Grass,Poison
Weepinbell,3,Grass,Poison
Victreebel,3,Grass,Poison
Tentacool,3,Water,Poison
Tentacruel,3,Water,Poison
Geodude,3,Rock,Ground
Graveler,3,Rock,Ground
Golem,3,Rock,Ground
Ponyta,3,Fire,
Rapidash,3,Fire,
Slowpoke,3,Water,Psychic
Slowbro,3,Water,Psychic
Magnemite,3,Electric,Steel
Magneton,3,Electric,Steel
Farfetch’d,3,Normal,Flying
Doduo,3,Normal,Flying
Dodrio,3,Normal,Flying
Seel,3,Water,
Dewgong,3,Water,Ice
Grimer,3,Poison,
Muk,3,Poison,
Shellder,3,Water,
Cloyster,3,Water,Ice
Gastly,3,Ghost,Poison
Haunter,3,Ghost,Poison
Gengar,3,Ghost,Poison
Onix,3,Rock,Ground
Drowzee,3,Psychic,
Hypno,3,Psychic,
Krabby,3,Water,
Kingler,3,Water,
Voltorb,3,Electric,
Electrode,3,Electric,
Exeggcute,3,Grass,Psychic
Exeggutor,3,Grass,Psychic
Cubone,3,Ground,
Marowak,3,Ground,
Hitmonlee,3,Fighting,
Hitmonchan,3,Fighting,
Lickitung,3,Normal,
